wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:02:00.844194-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.86,22777.0,149.66,21234.0,149.72,9855.0,149.66,15951.0,149.93,14160.0,149.61,29924.0,149.48,123862.0
2026-08-12T02:32:12.161421-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.86,22777.0,149.66,21234.0,149.72,9855.0,149.66,15951.0,149.93,14160.0,149.61,29924.0,149.48,123862.0
2026-08-12T03:02:23.166903-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.86,22777.0,149.66,21234.0,149.72,9855.0,149.66,15951.0,149.93,14160.0,149.61,29924.0,149.48,123862.0
2026-08-12T03:32:34.096523-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.86,22777.0,149.66,21234.0,149.72,9855.0,149.66,15951.0,149.93,14160.0,149.61,29924.0,149.48,123862.0
2026-08-12T04:02:45.062231-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.86,22777.0,149.66,21234.0,149.72,9855.0,149.66,15951.0,149.93,14160.0,149.61,29924.0,149.48,123862.0
2026-08-12T04:32:55.970839-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.86,22777.0,149.66,21234.0,149.72,9855.0,149.66,15951.0,149.93,14160.0,149.61,29924.0,149.48,123862.0
2026-08-12T05:03:06.956700-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.86,22777.0,149.66,21234.0,149.72,9855.0,149.66,15951.0,149.93,14160.0,149.61,29924.0,149.48,123862.0
2026-08-12T05:33:17.783984-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.86,22777.0,149.66,21234.0,149.72,9855.0,149.66,15951.0,149.93,14160.0,149.61,29924.0,149.48,123862.0
2026-08-12T06:03:29.013126-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.86,22777.0,149.66,21234.0,149.72,9855.0,149.66,15951.0,149.93,14160.0,149.61,29924.0,149.48,123862.0
2026-08-12T06:33:39.946175-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.86,22777.0,149.66,21234.0,149.72,9855.0,149.66,15951.0,149.93,14160.0,149.61,29924.0,149.48,123862.0
2026-08-12T07:03:50.704482-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.86,22777.0,149.66,21234.0,149.72,9855.0,149.66,15951.0,149.93,14160.0,149.61,29924.0,149.48,123862.0
2026-08-12T07:34:01.775614-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.86,22777.0,149.66,21234.0,149.72,9855.0,149.66,15951.0,149.93,14160.0,149.61,29924.0,149.48,123862.0
2026-08-12T08:04:12.579480-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.86,22777.0,149.66,21234.0,149.72,9855.0,149.66,15951.0,149.93,14160.0,149.61,29924.0,149.48,123862.0
2026-08-12T08:34:23.591599-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.86,22777.0,149.66,21234.0,149.72,9855.0,149.66,15951.0,149.93,14160.0,149.61,29924.0,149.48,123862.0
2026-08-12T09:04:34.467607-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.86,22777.0,149.66,21234.0,149.72,9855.0,149.66,15951.0,149.93,14160.0,149.61,29924.0,149.48,123862.0
2026-08-12T09:34:45.257175-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.86,22777.0,149.66,21234.0,149.72,9855.0,149.66,15951.0,149.93,14160.0,149.61,29924.0,149.48,123862.0
2026-08-12T10:04:56.244559-04:00,,,,,,,,,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,,,,,,,,,,,,,,,,,149.66,21234.0,149.72,9855.0,149.66,15951.0,149.93,14160.0,149.61,29924.0,149.48,123862.0,148.6,43562.0
2026-08-12T10:35:07.143739-04:00,,,,,,,,,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,,,,,,,,,,,,,,,,,149.72,9855.0,149.66,15951.0,149.93,14160.0,149.61,29924.0,149.48,123862.0,148.59,57905.0,148.81,27384.0
2026-08-12T11:05:18.145794-04:00,,,,,,,,,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,,,,,,,,,,,,,,,,,149.66,15951.0,149.93,14160.0,149.61,29924.0,149.48,123862.0,148.59,57905.0,148.47,39635.0,148.04,30506.0
2026-08-12T11:35:28.960437-04:00,,,,,,,,,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,,,,,,,,,,,,,,,,,149.93,14160.0,149.61,29924.0,149.48,123862.0,148.59,57905.0,148.47,39635.0,147.89,41281.0,148.65,18592.0
2026-08-12T12:05:39.690592-04:00,,,,,,,,,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,,,,,,,,,,,,,,,,,149.61,29924.0,149.48,123862.0,148.59,57905.0,148.47,39635.0,147.89,41281.0,148.83,24854.0,148.87,8608.0
2026-08-12T12:35:53.082911-04:00,,,,,,,,,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,,,,,,,,,,,,,,,,,149.48,123862.0,148.59,57905.0,148.47,39635.0,147.89,41281.0,148.83,24854.0,148.88,17596.0,148.78,15116.0
2026-08-12T13:06:04.154311-04:00,,,,,,,,,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,,,,,,,,,,,,,,,,,148.59,57905.0,148.47,39635.0,147.89,41281.0,148.83,24854.0,148.88,17596.0,148.75,18819.0,148.91,7848.0
2026-08-12T13:36:15.104819-04:00,,,,,,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,,,,,,,,,,,,,,,,,148.47,39635.0,147.89,41281.0,148.83,24854.0,148.88,17596.0,148.75,18819.0,148.77,10350.0,148.17,20022.0
2026-08-12T14:06:27.407252-04:00,,,,,,,,,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,,,,,,,,,,,,,,,,,147.89,41281.0,148.83,24854.0,148.88,17596.0,148.75,18819.0,148.77,10350.0,148.05,30338.0,147.72,37371.0
2026-08-12T14:36:39.009726-04:00,,,,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,,,,,,,,,,,,,,,,,148.83,24854.0,148.88,17596.0,148.75,18819.0,148.77,10350.0,148.05,30338.0,148.02,42112.0,148.35,16488.0
2026-08-12T15:06:50.528075-04:00,,,,,,,,,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,,,,,,,,,,,,,,,,,148.88,17596.0,148.75,18819.0,148.77,10350.0,148.05,30338.0,148.02,42112.0,148.35,33302.0,148.2,21118.0
2026-08-12T15:37:02.093522-04:00,,,,,,,,,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,,,,,,,,,,,,,,,,,148.75,18819.0,148.77,10350.0,148.05,30338.0,148.02,42112.0,148.35,33302.0,148.16,27217.0,148.18,18122.0
2026-08-12T16:07:14.177232-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,148.77,10350.0,148.05,30338.0,148.02,42112.0,148.35,33302.0,148.16,27217.0,148.3,22376.0,148.31,68168.0
