wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:01:56.258289-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,107.1499,56325.0,106.18,310424.0,110.17,203193.0,116.505,410690.0,116.75,248803.0,115.42,182556.0,116.0,106101.0,116.2167,59928.0,116.56,48969.0,115.25,38850.0,116.18,32802.0,114.7,65578.0,115.965,41808.0,115.425,45064.0,117.24,164448.0
2026-08-12T02:32:07.380603-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,107.1499,56325.0,106.18,310424.0,110.17,203193.0,116.505,410690.0,116.75,248803.0,115.42,182556.0,116.0,106101.0,116.2167,59928.0,116.56,48969.0,115.25,38850.0,116.18,32802.0,114.7,65578.0,115.965,41808.0,115.425,45064.0,117.24,164448.0
2026-08-12T03:02:18.621622-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,107.1499,56325.0,106.18,310424.0,110.17,203193.0,116.505,410690.0,116.75,248803.0,115.42,182556.0,116.0,106101.0,116.2167,59928.0,116.56,48969.0,115.25,38850.0,116.18,32802.0,114.7,65578.0,115.965,41808.0,115.425,45064.0,117.24,164448.0
2026-08-12T03:32:29.533915-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,107.1499,56325.0,106.18,310424.0,110.17,203193.0,116.505,410690.0,116.75,248803.0,115.42,182556.0,116.0,106101.0,116.2167,59928.0,116.56,48969.0,115.25,38850.0,116.18,32802.0,114.7,65578.0,115.965,41808.0,115.425,45064.0,117.24,164448.0
2026-08-12T04:02:40.504640-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,107.1499,56325.0,106.18,310424.0,110.17,203193.0,116.505,410690.0,116.75,248803.0,115.42,182556.0,116.0,106101.0,116.2167,59928.0,116.56,48969.0,115.25,38850.0,116.18,32802.0,114.7,65578.0,115.965,41808.0,115.425,45064.0,117.24,164448.0
2026-08-12T04:32:51.475116-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,107.1499,56325.0,106.18,310424.0,110.17,203193.0,116.505,410690.0,116.75,248803.0,115.42,182556.0,116.0,106101.0,116.2167,59928.0,116.56,48969.0,115.25,38850.0,116.18,32802.0,114.7,65578.0,115.965,41808.0,115.425,45064.0,117.24,164448.0
2026-08-12T05:03:02.391487-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,107.1499,56325.0,106.18,310424.0,110.17,203193.0,116.505,410690.0,116.75,248803.0,115.42,182556.0,116.0,106101.0,116.2167,59928.0,116.56,48969.0,115.25,38850.0,116.18,32802.0,114.7,65578.0,115.965,41808.0,115.425,45064.0,117.24,164448.0
2026-08-12T05:33:13.272995-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,107.1499,56325.0,106.18,310424.0,110.17,203193.0,116.505,410690.0,116.75,248803.0,115.42,182556.0,116.0,106101.0,116.2167,59928.0,116.56,48969.0,115.25,38850.0,116.18,32802.0,114.7,65578.0,115.965,41808.0,115.425,45064.0,117.24,164448.0
2026-08-12T06:03:24.387799-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,107.1499,56325.0,106.18,310424.0,110.17,203193.0,116.505,410690.0,116.75,248803.0,115.42,182556.0,116.0,106101.0,116.2167,59928.0,116.56,48969.0,115.25,38850.0,116.18,32802.0,114.7,65578.0,115.965,41808.0,115.425,45064.0,117.24,164448.0
2026-08-12T06:33:35.389563-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,107.1499,56325.0,106.18,310424.0,110.17,203193.0,116.505,410690.0,116.75,248803.0,115.42,182556.0,116.0,106101.0,116.2167,59928.0,116.56,48969.0,115.25,38850.0,116.18,32802.0,114.7,65578.0,115.965,41808.0,115.425,45064.0,117.24,164448.0
