wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:02:01.237036-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,76.01,82488.0,75.5,644018.0,76.52,210970.0,76.08,210670.0,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0
2026-08-12T02:32:12.547739-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,76.01,82488.0,75.5,644018.0,76.52,210970.0,76.08,210670.0,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0
2026-08-12T03:02:23.547696-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,76.01,82488.0,75.5,644018.0,76.52,210970.0,76.08,210670.0,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0
2026-08-12T03:32:34.483744-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,76.01,82488.0,75.5,644018.0,76.52,210970.0,76.08,210670.0,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0
2026-08-12T04:02:45.443347-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,76.01,82488.0,75.5,644018.0,76.52,210970.0,76.08,210670.0,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0
2026-08-12T04:32:56.348519-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,76.01,82488.0,75.5,644018.0,76.52,210970.0,76.08,210670.0,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0
2026-08-12T05:03:07.340071-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,76.01,82488.0,75.5,644018.0,76.52,210970.0,76.08,210670.0,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0
2026-08-12T05:33:18.156540-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,76.01,82488.0,75.5,644018.0,76.52,210970.0,76.08,210670.0,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0
2026-08-12T06:03:29.390702-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,76.01,82488.0,75.5,644018.0,76.52,210970.0,76.08,210670.0,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0
2026-08-12T06:33:40.306876-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,76.01,82488.0,75.5,644018.0,76.52,210970.0,76.08,210670.0,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0
2026-08-12T07:03:51.074993-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,76.01,82488.0,75.5,644018.0,76.52,210970.0,76.08,210670.0,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0
2026-08-12T07:34:02.137041-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,76.01,82488.0,75.5,644018.0,76.52,210970.0,76.08,210670.0,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0
2026-08-12T08:04:12.952742-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,76.01,82488.0,75.5,644018.0,76.52,210970.0,76.08,210670.0,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0
2026-08-12T08:34:23.976330-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,76.01,82488.0,75.5,644018.0,76.52,210970.0,76.08,210670.0,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0
2026-08-12T09:04:34.840755-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,76.01,82488.0,75.5,644018.0,76.52,210970.0,76.08,210670.0,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0
2026-08-12T09:34:45.631407-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,76.01,82488.0,75.5,644018.0,76.52,210970.0,76.08,210670.0,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0
2026-08-12T10:04:56.620752-04:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,75.5,644018.0,76.52,210970.0,76.08,210670.0,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0,75.99,155012.0
2026-08-12T10:35:07.524358-04:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,76.52,210970.0,76.08,210670.0,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0,75.51,184138.0,75.38,66126.0
2026-08-12T11:05:18.511561-04:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,76.08,210670.0,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0,75.51,184138.0,75.1,235846.0,74.5,82381.0
2026-08-12T11:35:29.339648-04:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,76.82,53508.0,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0,75.51,184138.0,75.1,235846.0,73.91,154062.0,73.88,82741.0
2026-08-12T12:05:40.063335-04:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,76.57,90644.0,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0,75.51,184138.0,75.1,235846.0,73.91,154062.0,73.77,105790.0,73.61,101695.0
2026-08-12T12:35:53.526990-04:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,76.14,31067.0,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0,75.51,184138.0,75.1,235846.0,73.91,154062.0,73.77,105790.0,73.67,123346.0,74.16,78092.0
2026-08-12T13:06:04.516801-04:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,76.47,38939.0,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0,75.51,184138.0,75.1,235846.0,73.91,154062.0,73.77,105790.0,73.67,123346.0,74.22,95415.0,74.15,49004.0
2026-08-12T13:36:15.482554-04:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,76.64,43413.0,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0,75.51,184138.0,75.1,235846.0,73.91,154062.0,73.77,105790.0,73.67,123346.0,74.22,95415.0,74.08,75621.0,73.97,33640.0
2026-08-12T14:06:27.912001-04:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,76.35,23034.0,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0,75.51,184138.0,75.1,235846.0,73.91,154062.0,73.77,105790.0,73.67,123346.0,74.22,95415.0,74.08,75621.0,74.0,54791.0,73.9,88902.0
2026-08-12T14:36:39.384039-04:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,76.82,23342.0,76.61,53703.0,76.68,36867.0,76.63,55965.0,76.72,226525.0,75.51,184138.0,75.1,235846.0,73.91,154062.0,73.77,105790.0,73.67,123346.0,74.22,95415.0,74.08,75621.0,74.0,54791.0,73.78,127551.0,73.29,135111.0
