wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:02:00.066821-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,48.95,88413.0,48.72,38258.0,48.94,202439.0,48.48,196614.0,48.64,40060.0,48.73,52644.0,48.71,20951.0,48.65,96732.0,48.56,70671.0,48.65,31416.0,48.71,45882.0,48.41,272883.0
2026-08-12T02:32:11.370790-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,48.95,88413.0,48.72,38258.0,48.94,202439.0,48.48,196614.0,48.64,40060.0,48.73,52644.0,48.71,20951.0,48.65,96732.0,48.56,70671.0,48.65,31416.0,48.71,45882.0,48.41,272883.0
2026-08-12T03:02:22.415241-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,48.95,88413.0,48.72,38258.0,48.94,202439.0,48.48,196614.0,48.64,40060.0,48.73,52644.0,48.71,20951.0,48.65,96732.0,48.56,70671.0,48.65,31416.0,48.71,45882.0,48.41,272883.0
2026-08-12T03:32:33.332305-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,48.95,88413.0,48.72,38258.0,48.94,202439.0,48.48,196614.0,48.64,40060.0,48.73,52644.0,48.71,20951.0,48.65,96732.0,48.56,70671.0,48.65,31416.0,48.71,45882.0,48.41,272883.0
2026-08-12T04:02:44.293973-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,48.95,88413.0,48.72,38258.0,48.94,202439.0,48.48,196614.0,48.64,40060.0,48.73,52644.0,48.71,20951.0,48.65,96732.0,48.56,70671.0,48.65,31416.0,48.71,45882.0,48.41,272883.0
2026-08-12T04:32:55.209776-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,48.95,88413.0,48.72,38258.0,48.94,202439.0,48.48,196614.0,48.64,40060.0,48.73,52644.0,48.71,20951.0,48.65,96732.0,48.56,70671.0,48.65,31416.0,48.71,45882.0,48.41,272883.0
2026-08-12T05:03:06.195008-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,48.95,88413.0,48.72,38258.0,48.94,202439.0,48.48,196614.0,48.64,40060.0,48.73,52644.0,48.71,20951.0,48.65,96732.0,48.56,70671.0,48.65,31416.0,48.71,45882.0,48.41,272883.0
2026-08-12T05:33:17.013270-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,48.95,88413.0,48.72,38258.0,48.94,202439.0,48.48,196614.0,48.64,40060.0,48.73,52644.0,48.71,20951.0,48.65,96732.0,48.56,70671.0,48.65,31416.0,48.71,45882.0,48.41,272883.0
2026-08-12T06:03:28.243517-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,48.95,88413.0,48.72,38258.0,48.94,202439.0,48.48,196614.0,48.64,40060.0,48.73,52644.0,48.71,20951.0,48.65,96732.0,48.56,70671.0,48.65,31416.0,48.71,45882.0,48.41,272883.0
2026-08-12T06:33:39.212859-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,48.95,88413.0,48.72,38258.0,48.94,202439.0,48.48,196614.0,48.64,40060.0,48.73,52644.0,48.71,20951.0,48.65,96732.0,48.56,70671.0,48.65,31416.0,48.71,45882.0,48.41,272883.0
