wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:01:53.951981-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,475.57,495302.0,469.52,1690178.0,467.06,1989315.0,468.95,1183812.0,468.99,652006.0,469.02,626146.0,468.33,446684.0,466.86,346802.0,466.4,326212.0,466.28,315040.0,469.63,364898.0,471.05,890240.0,472.79,649245.0,474.79,690746.0,474.4,1102884.0
2026-08-12T02:32:05.068281-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,475.57,495302.0,469.52,1690178.0,467.06,1989315.0,468.95,1183812.0,468.99,652006.0,469.02,626146.0,468.33,446684.0,466.86,346802.0,466.4,326212.0,466.28,315040.0,469.63,364898.0,471.05,890240.0,472.79,649245.0,474.79,690746.0,474.4,1102884.0
2026-08-12T03:02:16.412625-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,475.57,495302.0,469.52,1690178.0,467.06,1989315.0,468.95,1183812.0,468.99,652006.0,469.02,626146.0,468.33,446684.0,466.86,346802.0,466.4,326212.0,466.28,315040.0,469.63,364898.0,471.05,890240.0,472.79,649245.0,474.79,690746.0,474.4,1102884.0
2026-08-12T03:32:27.288888-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,475.57,495302.0,469.52,1690178.0,467.06,1989315.0,468.95,1183812.0,468.99,652006.0,469.02,626146.0,468.33,446684.0,466.86,346802.0,466.4,326212.0,466.28,315040.0,469.63,364898.0,471.05,890240.0,472.79,649245.0,474.79,690746.0,474.4,1102884.0
2026-08-12T04:02:38.198612-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,475.57,495302.0,469.52,1690178.0,467.06,1989315.0,468.95,1183812.0,468.99,652006.0,469.02,626146.0,468.33,446684.0,466.86,346802.0,466.4,326212.0,466.28,315040.0,469.63,364898.0,471.05,890240.0,472.79,649245.0,474.79,690746.0,474.4,1102884.0
2026-08-12T04:32:49.206134-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,475.57,495302.0,469.52,1690178.0,467.06,1989315.0,468.95,1183812.0,468.99,652006.0,469.02,626146.0,468.33,446684.0,466.86,346802.0,466.4,326212.0,466.28,315040.0,469.63,364898.0,471.05,890240.0,472.79,649245.0,474.79,690746.0,474.4,1102884.0
2026-08-12T05:03:00.097607-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,475.57,495302.0,469.52,1690178.0,467.06,1989315.0,468.95,1183812.0,468.99,652006.0,469.02,626146.0,468.33,446684.0,466.86,346802.0,466.4,326212.0,466.28,315040.0,469.63,364898.0,471.05,890240.0,472.79,649245.0,474.79,690746.0,474.4,1102884.0
2026-08-12T05:33:11.015043-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,475.57,495302.0,469.52,1690178.0,467.06,1989315.0,468.95,1183812.0,468.99,652006.0,469.02,626146.0,468.33,446684.0,466.86,346802.0,466.4,326212.0,466.28,315040.0,469.63,364898.0,471.05,890240.0,472.79,649245.0,474.79,690746.0,474.4,1102884.0
2026-08-12T06:03:22.088261-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,475.57,495302.0,469.52,1690178.0,467.06,1989315.0,468.95,1183812.0,468.99,652006.0,469.02,626146.0,468.33,446684.0,466.86,346802.0,466.4,326212.0,466.28,315040.0,469.63,364898.0,471.05,890240.0,472.79,649245.0,474.79,690746.0,474.4,1102884.0
2026-08-12T06:33:33.103624-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,475.57,495302.0,469.52,1690178.0,467.06,1989315.0,468.95,1183812.0,468.99,652006.0,469.02,626146.0,468.33,446684.0,466.86,346802.0,466.4,326212.0,466.28,315040.0,469.63,364898.0,471.05,890240.0,472.79,649245.0,474.79,690746.0,474.4,1102884.0
