wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:01:55.886078-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,53.68,62733.0,53.76,71566.0,53.67,66663.0,53.59,76736.0,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0
2026-08-12T02:32:07.000474-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,53.68,62733.0,53.76,71566.0,53.67,66663.0,53.59,76736.0,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0
2026-08-12T03:02:18.245030-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,53.68,62733.0,53.76,71566.0,53.67,66663.0,53.59,76736.0,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0
2026-08-12T03:32:29.156286-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,53.68,62733.0,53.76,71566.0,53.67,66663.0,53.59,76736.0,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0
2026-08-12T04:02:40.071528-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,53.68,62733.0,53.76,71566.0,53.67,66663.0,53.59,76736.0,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0
2026-08-12T04:32:51.096730-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,53.68,62733.0,53.76,71566.0,53.67,66663.0,53.59,76736.0,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0
2026-08-12T05:03:02.006769-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,53.68,62733.0,53.76,71566.0,53.67,66663.0,53.59,76736.0,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0
2026-08-12T05:33:12.896983-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,53.68,62733.0,53.76,71566.0,53.67,66663.0,53.59,76736.0,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0
2026-08-12T06:03:24.017942-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,53.68,62733.0,53.76,71566.0,53.67,66663.0,53.59,76736.0,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0
2026-08-12T06:33:35.008298-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,53.68,62733.0,53.76,71566.0,53.67,66663.0,53.59,76736.0,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0
2026-08-12T07:03:45.867980-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,53.68,62733.0,53.76,71566.0,53.67,66663.0,53.59,76736.0,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0
2026-08-12T07:33:56.825544-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,53.68,62733.0,53.76,71566.0,53.67,66663.0,53.59,76736.0,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0
2026-08-12T08:04:07.732843-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,53.68,62733.0,53.76,71566.0,53.67,66663.0,53.59,76736.0,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0
2026-08-12T08:34:18.573636-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,53.68,62733.0,53.76,71566.0,53.67,66663.0,53.59,76736.0,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0
2026-08-12T09:04:29.572439-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,53.68,62733.0,53.76,71566.0,53.67,66663.0,53.59,76736.0,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0
2026-08-12T09:34:40.311108-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,53.68,62733.0,53.76,71566.0,53.67,66663.0,53.59,76736.0,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0
2026-08-12T10:04:51.341664-04:00,,,,,,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,,,,,,,,,,,53.76,71566.0,53.67,66663.0,53.59,76736.0,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0,56.63,269310.0
2026-08-12T10:35:02.186414-04:00,,,,,,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,,,,,,,,,,,53.67,66663.0,53.59,76736.0,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0,56.48,386917.0,56.55,72280.0
2026-08-12T11:05:13.221582-04:00,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,,,,,,,,,,,53.59,76736.0,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0,56.48,386917.0,56.68,117169.0,56.87,148862.0
2026-08-12T11:35:24.064382-04:00,,,,,,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,,,,,,,,,,,53.52,59240.0,53.62,62432.0,53.63,50636.0,53.76,60040.0,53.7,118523.0,54.29,337595.0,56.48,386917.0,56.68,117169.0,56.69,180060.0,56.79,43935.0
