wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:02:00.268498-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,34.7,17210.0,34.58,155822.0,34.96,11755.0,35.34,11701.0,35.42,2878.0,34.9,5109.0,34.94,5816.0,34.97,4056.0,34.99,4596.0,34.89,5579.0,34.91,6893.0,34.66,16417.0,34.82,8967.0,34.61,8956.0,34.89,44495.0
2026-08-12T02:32:11.579556-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,34.7,17210.0,34.58,155822.0,34.96,11755.0,35.34,11701.0,35.42,2878.0,34.9,5109.0,34.94,5816.0,34.97,4056.0,34.99,4596.0,34.89,5579.0,34.91,6893.0,34.66,16417.0,34.82,8967.0,34.61,8956.0,34.89,44495.0
2026-08-12T03:02:22.602046-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,34.7,17210.0,34.58,155822.0,34.96,11755.0,35.34,11701.0,35.42,2878.0,34.9,5109.0,34.94,5816.0,34.97,4056.0,34.99,4596.0,34.89,5579.0,34.91,6893.0,34.66,16417.0,34.82,8967.0,34.61,8956.0,34.89,44495.0
2026-08-12T03:32:33.524957-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,34.7,17210.0,34.58,155822.0,34.96,11755.0,35.34,11701.0,35.42,2878.0,34.9,5109.0,34.94,5816.0,34.97,4056.0,34.99,4596.0,34.89,5579.0,34.91,6893.0,34.66,16417.0,34.82,8967.0,34.61,8956.0,34.89,44495.0
2026-08-12T04:02:44.486200-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,34.7,17210.0,34.58,155822.0,34.96,11755.0,35.34,11701.0,35.42,2878.0,34.9,5109.0,34.94,5816.0,34.97,4056.0,34.99,4596.0,34.89,5579.0,34.91,6893.0,34.66,16417.0,34.82,8967.0,34.61,8956.0,34.89,44495.0
2026-08-12T04:32:55.398763-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,34.7,17210.0,34.58,155822.0,34.96,11755.0,35.34,11701.0,35.42,2878.0,34.9,5109.0,34.94,5816.0,34.97,4056.0,34.99,4596.0,34.89,5579.0,34.91,6893.0,34.66,16417.0,34.82,8967.0,34.61,8956.0,34.89,44495.0
2026-08-12T05:03:06.380517-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,34.7,17210.0,34.58,155822.0,34.96,11755.0,35.34,11701.0,35.42,2878.0,34.9,5109.0,34.94,5816.0,34.97,4056.0,34.99,4596.0,34.89,5579.0,34.91,6893.0,34.66,16417.0,34.82,8967.0,34.61,8956.0,34.89,44495.0
2026-08-12T05:33:17.201784-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,34.7,17210.0,34.58,155822.0,34.96,11755.0,35.34,11701.0,35.42,2878.0,34.9,5109.0,34.94,5816.0,34.97,4056.0,34.99,4596.0,34.89,5579.0,34.91,6893.0,34.66,16417.0,34.82,8967.0,34.61,8956.0,34.89,44495.0
2026-08-12T06:03:28.444786-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,34.7,17210.0,34.58,155822.0,34.96,11755.0,35.34,11701.0,35.42,2878.0,34.9,5109.0,34.94,5816.0,34.97,4056.0,34.99,4596.0,34.89,5579.0,34.91,6893.0,34.66,16417.0,34.82,8967.0,34.61,8956.0,34.89,44495.0
2026-08-12T06:33:39.403883-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,34.7,17210.0,34.58,155822.0,34.96,11755.0,35.34,11701.0,35.42,2878.0,34.9,5109.0,34.94,5816.0,34.97,4056.0,34.99,4596.0,34.89,5579.0,34.91,6893.0,34.66,16417.0,34.82,8967.0,34.61,8956.0,34.89,44495.0
2026-08-12T07:03:50.148141-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,34.7,17210.0,34.58,155822.0,34.96,11755.0,35.34,11701.0,35.42,2878.0,34.9,5109.0,34.94,5816.0,34.97,4056.0,34.99,4596.0,34.89,5579.0,34.91,6893.0,34.66,16417.0,34.82,8967.0,34.61,8956.0,34.89,44495.0
2026-08-12T07:34:01.216021-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,34.7,17210.0,34.58,155822.0,34.96,11755.0,35.34,11701.0,35.42,2878.0,34.9,5109.0,34.94,5816.0,34.97,4056.0,34.99,4596.0,34.89,5579.0,34.91,6893.0,34.66,16417.0,34.82,8967.0,34.61,8956.0,34.89,44495.0
2026-08-12T08:04:12.023994-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,34.7,17210.0,34.58,155822.0,34.96,11755.0,35.34,11701.0,35.42,2878.0,34.9,5109.0,34.94,5816.0,34.97,4056.0,34.99,4596.0,34.89,5579.0,34.91,6893.0,34.66,16417.0,34.82,8967.0,34.61,8956.0,34.89,44495.0
2026-08-12T08:34:23.021939-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,34.7,17210.0,34.58,155822.0,34.96,11755.0,35.34,11701.0,35.42,2878.0,34.9,5109.0,34.94,5816.0,34.97,4056.0,34.99,4596.0,34.89,5579.0,34.91,6893.0,34.66,16417.0,34.82,8967.0,34.61,8956.0,34.89,44495.0
2026-08-12T09:04:33.895904-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,34.7,17210.0,34.58,155822.0,34.96,11755.0,35.34,11701.0,35.42,2878.0,34.9,5109.0,34.94,5816.0,34.97,4056.0,34.99,4596.0,34.89,5579.0,34.91,6893.0,34.66,16417.0,34.82,8967.0,34.61,8956.0,34.89,44495.0
2026-08-12T09:34:44.678865-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,34.7,17210.0,34.58,155822.0,34.96,11755.0,35.34,11701.0,35.42,2878.0,34.9,5109.0,34.94,5816.0,34.97,4056.0,34.99,4596.0,34.89,5579.0,34.91,6893.0,34.66,16417.0,34.82,8967.0,34.61,8956.0,34.89,44495.0
