wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:01:57.621377-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,49.63,130563.0,49.81,441385.0,50.08,181179.0,50.18,132262.0,50.17,218919.0,50.37,176981.0,50.37,136489.0,50.04,107261.0,50.12,120258.0,49.83,82731.0,49.84,114667.0,49.75,167159.0,49.91,94530.0,49.84,137264.0,49.62,401649.0
2026-08-12T02:32:08.802971-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,49.63,130563.0,49.81,441385.0,50.08,181179.0,50.18,132262.0,50.17,218919.0,50.37,176981.0,50.37,136489.0,50.04,107261.0,50.12,120258.0,49.83,82731.0,49.84,114667.0,49.75,167159.0,49.91,94530.0,49.84,137264.0,49.62,401649.0
2026-08-12T03:02:19.969450-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,49.63,130563.0,49.81,441385.0,50.08,181179.0,50.18,132262.0,50.17,218919.0,50.37,176981.0,50.37,136489.0,50.04,107261.0,50.12,120258.0,49.83,82731.0,49.84,114667.0,49.75,167159.0,49.91,94530.0,49.84,137264.0,49.62,401649.0
2026-08-12T03:32:30.888706-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,49.63,130563.0,49.81,441385.0,50.08,181179.0,50.18,132262.0,50.17,218919.0,50.37,176981.0,50.37,136489.0,50.04,107261.0,50.12,120258.0,49.83,82731.0,49.84,114667.0,49.75,167159.0,49.91,94530.0,49.84,137264.0,49.62,401649.0
2026-08-12T04:02:41.837893-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,49.63,130563.0,49.81,441385.0,50.08,181179.0,50.18,132262.0,50.17,218919.0,50.37,176981.0,50.37,136489.0,50.04,107261.0,50.12,120258.0,49.83,82731.0,49.84,114667.0,49.75,167159.0,49.91,94530.0,49.84,137264.0,49.62,401649.0
2026-08-12T04:32:52.759994-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,49.63,130563.0,49.81,441385.0,50.08,181179.0,50.18,132262.0,50.17,218919.0,50.37,176981.0,50.37,136489.0,50.04,107261.0,50.12,120258.0,49.83,82731.0,49.84,114667.0,49.75,167159.0,49.91,94530.0,49.84,137264.0,49.62,401649.0
2026-08-12T05:03:03.715350-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,49.63,130563.0,49.81,441385.0,50.08,181179.0,50.18,132262.0,50.17,218919.0,50.37,176981.0,50.37,136489.0,50.04,107261.0,50.12,120258.0,49.83,82731.0,49.84,114667.0,49.75,167159.0,49.91,94530.0,49.84,137264.0,49.62,401649.0
2026-08-12T05:33:14.599405-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,49.63,130563.0,49.81,441385.0,50.08,181179.0,50.18,132262.0,50.17,218919.0,50.37,176981.0,50.37,136489.0,50.04,107261.0,50.12,120258.0,49.83,82731.0,49.84,114667.0,49.75,167159.0,49.91,94530.0,49.84,137264.0,49.62,401649.0
2026-08-12T06:03:25.714614-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,49.63,130563.0,49.81,441385.0,50.08,181179.0,50.18,132262.0,50.17,218919.0,50.37,176981.0,50.37,136489.0,50.04,107261.0,50.12,120258.0,49.83,82731.0,49.84,114667.0,49.75,167159.0,49.91,94530.0,49.84,137264.0,49.62,401649.0
2026-08-12T06:33:36.723245-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,49.63,130563.0,49.81,441385.0,50.08,181179.0,50.18,132262.0,50.17,218919.0,50.37,176981.0,50.37,136489.0,50.04,107261.0,50.12,120258.0,49.83,82731.0,49.84,114667.0,49.75,167159.0,49.91,94530.0,49.84,137264.0,49.62,401649.0
