wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:01:57.048072-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,271.67,64392.0,267.78,331808.0,271.25,187091.0,270.12,117686.0,269.78,64006.0,269.59,47052.0,269.48,57429.0,268.68,88858.0,267.78,64733.0,267.18,185419.0,266.76,58049.0,265.77,68871.0,267.14,61638.0,267.47,130699.0,268.91,601317.0
2026-08-12T02:32:08.160476-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,271.67,64392.0,267.78,331808.0,271.25,187091.0,270.12,117686.0,269.78,64006.0,269.59,47052.0,269.48,57429.0,268.68,88858.0,267.78,64733.0,267.18,185419.0,266.76,58049.0,265.77,68871.0,267.14,61638.0,267.47,130699.0,268.91,601317.0
2026-08-12T03:02:19.395320-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,271.67,64392.0,267.78,331808.0,271.25,187091.0,270.12,117686.0,269.78,64006.0,269.59,47052.0,269.48,57429.0,268.68,88858.0,267.78,64733.0,267.18,185419.0,266.76,58049.0,265.77,68871.0,267.14,61638.0,267.47,130699.0,268.91,601317.0
2026-08-12T03:32:30.303231-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,271.67,64392.0,267.78,331808.0,271.25,187091.0,270.12,117686.0,269.78,64006.0,269.59,47052.0,269.48,57429.0,268.68,88858.0,267.78,64733.0,267.18,185419.0,266.76,58049.0,265.77,68871.0,267.14,61638.0,267.47,130699.0,268.91,601317.0
2026-08-12T04:02:41.267119-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,271.67,64392.0,267.78,331808.0,271.25,187091.0,270.12,117686.0,269.78,64006.0,269.59,47052.0,269.48,57429.0,268.68,88858.0,267.78,64733.0,267.18,185419.0,266.76,58049.0,265.77,68871.0,267.14,61638.0,267.47,130699.0,268.91,601317.0
2026-08-12T04:32:52.217421-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,271.67,64392.0,267.78,331808.0,271.25,187091.0,270.12,117686.0,269.78,64006.0,269.59,47052.0,269.48,57429.0,268.68,88858.0,267.78,64733.0,267.18,185419.0,266.76,58049.0,265.77,68871.0,267.14,61638.0,267.47,130699.0,268.91,601317.0
2026-08-12T05:03:03.147326-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,271.67,64392.0,267.78,331808.0,271.25,187091.0,270.12,117686.0,269.78,64006.0,269.59,47052.0,269.48,57429.0,268.68,88858.0,267.78,64733.0,267.18,185419.0,266.76,58049.0,265.77,68871.0,267.14,61638.0,267.47,130699.0,268.91,601317.0
2026-08-12T05:33:14.027031-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,271.67,64392.0,267.78,331808.0,271.25,187091.0,270.12,117686.0,269.78,64006.0,269.59,47052.0,269.48,57429.0,268.68,88858.0,267.78,64733.0,267.18,185419.0,266.76,58049.0,265.77,68871.0,267.14,61638.0,267.47,130699.0,268.91,601317.0
2026-08-12T06:03:25.121264-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,271.67,64392.0,267.78,331808.0,271.25,187091.0,270.12,117686.0,269.78,64006.0,269.59,47052.0,269.48,57429.0,268.68,88858.0,267.78,64733.0,267.18,185419.0,266.76,58049.0,265.77,68871.0,267.14,61638.0,267.47,130699.0,268.91,601317.0
2026-08-12T06:33:36.144780-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,271.67,64392.0,267.78,331808.0,271.25,187091.0,270.12,117686.0,269.78,64006.0,269.59,47052.0,269.48,57429.0,268.68,88858.0,267.78,64733.0,267.18,185419.0,266.76,58049.0,265.77,68871.0,267.14,61638.0,267.47,130699.0,268.91,601317.0
