wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:01:58.181617-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,69.03,242157.0,69.22,158529.0,68.8289,168813.0,69.22,318316.0,70.815,387536.0,71.415,750181.0,71.65,783684.0
2026-08-12T02:32:09.390275-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,69.03,242157.0,69.22,158529.0,68.8289,168813.0,69.22,318316.0,70.815,387536.0,71.415,750181.0,71.65,783684.0
2026-08-12T03:02:20.538130-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,69.03,242157.0,69.22,158529.0,68.8289,168813.0,69.22,318316.0,70.815,387536.0,71.415,750181.0,71.65,783684.0
2026-08-12T03:32:31.450813-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,69.03,242157.0,69.22,158529.0,68.8289,168813.0,69.22,318316.0,70.815,387536.0,71.415,750181.0,71.65,783684.0
2026-08-12T04:02:42.399668-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,69.03,242157.0,69.22,158529.0,68.8289,168813.0,69.22,318316.0,70.815,387536.0,71.415,750181.0,71.65,783684.0
2026-08-12T04:32:53.329283-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,69.03,242157.0,69.22,158529.0,68.8289,168813.0,69.22,318316.0,70.815,387536.0,71.415,750181.0,71.65,783684.0
2026-08-12T05:03:04.284519-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,69.03,242157.0,69.22,158529.0,68.8289,168813.0,69.22,318316.0,70.815,387536.0,71.415,750181.0,71.65,783684.0
2026-08-12T05:33:15.152220-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,69.03,242157.0,69.22,158529.0,68.8289,168813.0,69.22,318316.0,70.815,387536.0,71.415,750181.0,71.65,783684.0
2026-08-12T06:03:26.313633-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,69.03,242157.0,69.22,158529.0,68.8289,168813.0,69.22,318316.0,70.815,387536.0,71.415,750181.0,71.65,783684.0
2026-08-12T06:33:37.311838-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,69.03,242157.0,69.22,158529.0,68.8289,168813.0,69.22,318316.0,70.815,387536.0,71.415,750181.0,71.65,783684.0
2026-08-12T07:03:48.103739-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,69.03,242157.0,69.22,158529.0,68.8289,168813.0,69.22,318316.0,70.815,387536.0,71.415,750181.0,71.65,783684.0
2026-08-12T07:33:59.057673-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,69.03,242157.0,69.22,158529.0,68.8289,168813.0,69.22,318316.0,70.815,387536.0,71.415,750181.0,71.65,783684.0
2026-08-12T08:04:09.997923-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,69.03,242157.0,69.22,158529.0,68.8289,168813.0,69.22,318316.0,70.815,387536.0,71.415,750181.0,71.65,783684.0
2026-08-12T08:34:20.847577-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,69.03,242157.0,69.22,158529.0,68.8289,168813.0,69.22,318316.0,70.815,387536.0,71.415,750181.0,71.65,783684.0
2026-08-12T09:04:31.860375-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,69.03,242157.0,69.22,158529.0,68.8289,168813.0,69.22,318316.0,70.815,387536.0,71.415,750181.0,71.65,783684.0
2026-08-12T09:34:42.601365-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,69.03,242157.0,69.22,158529.0,68.8289,168813.0,69.22,318316.0,70.815,387536.0,71.415,750181.0,71.65,783684.0
2026-08-12T10:04:53.610353-04:00,,,,,,,,,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,,,,,,,,,,,,,,,,,69.22,158529.0,68.8289,168813.0,69.22,318316.0,70.815,387536.0,71.415,750181.0,71.65,783684.0,73.605,1466678.0
2026-08-12T10:35:04.494116-04:00,,,,,,,,,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,,,,,,,,,,,,,,,,,68.8289,168813.0,69.22,318316.0,70.815,387536.0,71.415,750181.0,71.65,783684.0,73.535,1800494.0,74.08,714978.0
2026-08-12T11:05:15.491773-04:00,,,,,,,,,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,,,,,,,,,,,,,,,,,69.22,318316.0,70.815,387536.0,71.415,750181.0,71.65,783684.0,73.535,1800494.0,73.86,1017033.0,72.55,543481.0
2026-08-12T11:35:26.345046-04:00,,,,,,,,,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,,,,,,,,,,,,,,,,,70.815,387536.0,71.415,750181.0,71.65,783684.0,73.535,1800494.0,73.86,1017033.0,72.47,707634.0,72.95,294586.0
2026-08-12T12:05:37.079580-04:00,,,,,,,,,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,,,,,,,,,,,,,,,,,71.415,750181.0,71.65,783684.0,73.535,1800494.0,73.86,1017033.0,72.47,707634.0,72.985,387699.0,72.7492,197850.0
2026-08-12T12:35:49.397757-04:00,,,,,,,,,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,,,,,,,,,,,,,,,,,71.65,783684.0,73.535,1800494.0,73.86,1017033.0,72.47,707634.0,72.985,387699.0,73.4599,305922.0,73.91,271793.0
2026-08-12T13:06:01.490826-04:00,,,,,,,,,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,,,,,,,,,,,,,,,,,73.535,1800494.0,73.86,1017033.0,72.47,707634.0,72.985,387699.0,73.4599,305922.0,73.22,326085.0,74.46,204736.0
2026-08-12T13:36:12.432629-04:00,,,,,,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,,,,,,,,,,,,,,,,,73.86,1017033.0,72.47,707634.0,72.985,387699.0,73.4599,305922.0,73.22,326085.0,73.87,317747.0,74.235,135100.0
2026-08-12T14:06:24.516887-04:00,,,,,,,,,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,,,,,,,,,,,,,,,,,72.47,707634.0,72.985,387699.0,73.4599,305922.0,73.22,326085.0,73.87,317747.0,74.49,204334.0,74.46,205619.0
2026-08-12T14:36:36.344839-04:00,,,,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,,,,,,,,,,,,,,,,,72.985,387699.0,73.4599,305922.0,73.22,326085.0,73.87,317747.0,74.49,204334.0,74.23,315785.0,74.185,133841.0
2026-08-12T15:06:47.856307-04:00,,,,,,,,,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,,,,,,,,,,,,,,,,,73.4599,305922.0,73.22,326085.0,73.87,317747.0,74.49,204334.0,74.23,315785.0,74.105,204634.0,73.8,229075.0
