wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:01:54.525485-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,216.17,319779.0,212.4,347504.0,211.43,285861.0,211.77,290546.0,211.98,163806.0,213.03,140318.0,211.54,165594.0,212.5,134124.0,212.25,105079.0,211.25,379365.0
2026-08-12T02:32:05.651490-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,216.17,319779.0,212.4,347504.0,211.43,285861.0,211.77,290546.0,211.98,163806.0,213.03,140318.0,211.54,165594.0,212.5,134124.0,212.25,105079.0,211.25,379365.0
2026-08-12T03:02:16.974659-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,216.17,319779.0,212.4,347504.0,211.43,285861.0,211.77,290546.0,211.98,163806.0,213.03,140318.0,211.54,165594.0,212.5,134124.0,212.25,105079.0,211.25,379365.0
2026-08-12T03:32:27.867178-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,216.17,319779.0,212.4,347504.0,211.43,285861.0,211.77,290546.0,211.98,163806.0,213.03,140318.0,211.54,165594.0,212.5,134124.0,212.25,105079.0,211.25,379365.0
2026-08-12T04:02:38.766263-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,216.17,319779.0,212.4,347504.0,211.43,285861.0,211.77,290546.0,211.98,163806.0,213.03,140318.0,211.54,165594.0,212.5,134124.0,212.25,105079.0,211.25,379365.0
2026-08-12T04:32:49.778682-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,216.17,319779.0,212.4,347504.0,211.43,285861.0,211.77,290546.0,211.98,163806.0,213.03,140318.0,211.54,165594.0,212.5,134124.0,212.25,105079.0,211.25,379365.0
2026-08-12T05:03:00.662386-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,216.17,319779.0,212.4,347504.0,211.43,285861.0,211.77,290546.0,211.98,163806.0,213.03,140318.0,211.54,165594.0,212.5,134124.0,212.25,105079.0,211.25,379365.0
2026-08-12T05:33:11.589779-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,216.17,319779.0,212.4,347504.0,211.43,285861.0,211.77,290546.0,211.98,163806.0,213.03,140318.0,211.54,165594.0,212.5,134124.0,212.25,105079.0,211.25,379365.0
2026-08-12T06:03:22.639821-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,216.17,319779.0,212.4,347504.0,211.43,285861.0,211.77,290546.0,211.98,163806.0,213.03,140318.0,211.54,165594.0,212.5,134124.0,212.25,105079.0,211.25,379365.0
2026-08-12T06:33:33.668035-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,216.17,319779.0,212.4,347504.0,211.43,285861.0,211.77,290546.0,211.98,163806.0,213.03,140318.0,211.54,165594.0,212.5,134124.0,212.25,105079.0,211.25,379365.0
