wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:01:56.066050-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,464.9,102464.0,458.05,430172.0,444.84,755670.0,445.86,217213.0,442.14,166198.0,443.05,133568.0,442.18,127023.0,442.37,122487.0,442.45,63507.0,442.39,76755.0,440.0,87553.0,436.3,151935.0,438.8,94590.0,440.24,82451.0,440.54,240415.0
2026-08-12T02:32:07.188394-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,464.9,102464.0,458.05,430172.0,444.84,755670.0,445.86,217213.0,442.14,166198.0,443.05,133568.0,442.18,127023.0,442.37,122487.0,442.45,63507.0,442.39,76755.0,440.0,87553.0,436.3,151935.0,438.8,94590.0,440.24,82451.0,440.54,240415.0
2026-08-12T03:02:18.430715-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,464.9,102464.0,458.05,430172.0,444.84,755670.0,445.86,217213.0,442.14,166198.0,443.05,133568.0,442.18,127023.0,442.37,122487.0,442.45,63507.0,442.39,76755.0,440.0,87553.0,436.3,151935.0,438.8,94590.0,440.24,82451.0,440.54,240415.0
2026-08-12T03:32:29.342147-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,464.9,102464.0,458.05,430172.0,444.84,755670.0,445.86,217213.0,442.14,166198.0,443.05,133568.0,442.18,127023.0,442.37,122487.0,442.45,63507.0,442.39,76755.0,440.0,87553.0,436.3,151935.0,438.8,94590.0,440.24,82451.0,440.54,240415.0
2026-08-12T04:02:40.263526-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,464.9,102464.0,458.05,430172.0,444.84,755670.0,445.86,217213.0,442.14,166198.0,443.05,133568.0,442.18,127023.0,442.37,122487.0,442.45,63507.0,442.39,76755.0,440.0,87553.0,436.3,151935.0,438.8,94590.0,440.24,82451.0,440.54,240415.0
2026-08-12T04:32:51.287350-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,464.9,102464.0,458.05,430172.0,444.84,755670.0,445.86,217213.0,442.14,166198.0,443.05,133568.0,442.18,127023.0,442.37,122487.0,442.45,63507.0,442.39,76755.0,440.0,87553.0,436.3,151935.0,438.8,94590.0,440.24,82451.0,440.54,240415.0
2026-08-12T05:03:02.204012-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,464.9,102464.0,458.05,430172.0,444.84,755670.0,445.86,217213.0,442.14,166198.0,443.05,133568.0,442.18,127023.0,442.37,122487.0,442.45,63507.0,442.39,76755.0,440.0,87553.0,436.3,151935.0,438.8,94590.0,440.24,82451.0,440.54,240415.0
2026-08-12T05:33:13.083766-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,464.9,102464.0,458.05,430172.0,444.84,755670.0,445.86,217213.0,442.14,166198.0,443.05,133568.0,442.18,127023.0,442.37,122487.0,442.45,63507.0,442.39,76755.0,440.0,87553.0,436.3,151935.0,438.8,94590.0,440.24,82451.0,440.54,240415.0
2026-08-12T06:03:24.198694-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,464.9,102464.0,458.05,430172.0,444.84,755670.0,445.86,217213.0,442.14,166198.0,443.05,133568.0,442.18,127023.0,442.37,122487.0,442.45,63507.0,442.39,76755.0,440.0,87553.0,436.3,151935.0,438.8,94590.0,440.24,82451.0,440.54,240415.0
2026-08-12T06:33:35.199789-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,464.9,102464.0,458.05,430172.0,444.84,755670.0,445.86,217213.0,442.14,166198.0,443.05,133568.0,442.18,127023.0,442.37,122487.0,442.45,63507.0,442.39,76755.0,440.0,87553.0,436.3,151935.0,438.8,94590.0,440.24,82451.0,440.54,240415.0
