wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:02:00.657409-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,146.49,33179.0,146.65,173756.0,149.15,70220.0,148.77,26872.0,148.77,23294.0,148.83,22645.0,149.89,58214.0,150.14,47738.0,149.85,35943.0,150.45,92816.0,150.59,51120.0,150.51,59438.0,150.41,38376.0,150.38,45171.0,150.79,168983.0
2026-08-12T02:32:11.962913-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,146.49,33179.0,146.65,173756.0,149.15,70220.0,148.77,26872.0,148.77,23294.0,148.83,22645.0,149.89,58214.0,150.14,47738.0,149.85,35943.0,150.45,92816.0,150.59,51120.0,150.51,59438.0,150.41,38376.0,150.38,45171.0,150.79,168983.0
2026-08-12T03:02:22.983311-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,146.49,33179.0,146.65,173756.0,149.15,70220.0,148.77,26872.0,148.77,23294.0,148.83,22645.0,149.89,58214.0,150.14,47738.0,149.85,35943.0,150.45,92816.0,150.59,51120.0,150.51,59438.0,150.41,38376.0,150.38,45171.0,150.79,168983.0
2026-08-12T03:32:33.907797-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,146.49,33179.0,146.65,173756.0,149.15,70220.0,148.77,26872.0,148.77,23294.0,148.83,22645.0,149.89,58214.0,150.14,47738.0,149.85,35943.0,150.45,92816.0,150.59,51120.0,150.51,59438.0,150.41,38376.0,150.38,45171.0,150.79,168983.0
2026-08-12T04:02:44.875123-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,146.49,33179.0,146.65,173756.0,149.15,70220.0,148.77,26872.0,148.77,23294.0,148.83,22645.0,149.89,58214.0,150.14,47738.0,149.85,35943.0,150.45,92816.0,150.59,51120.0,150.51,59438.0,150.41,38376.0,150.38,45171.0,150.79,168983.0
2026-08-12T04:32:55.783550-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,146.49,33179.0,146.65,173756.0,149.15,70220.0,148.77,26872.0,148.77,23294.0,148.83,22645.0,149.89,58214.0,150.14,47738.0,149.85,35943.0,150.45,92816.0,150.59,51120.0,150.51,59438.0,150.41,38376.0,150.38,45171.0,150.79,168983.0
2026-08-12T05:03:06.764052-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,146.49,33179.0,146.65,173756.0,149.15,70220.0,148.77,26872.0,148.77,23294.0,148.83,22645.0,149.89,58214.0,150.14,47738.0,149.85,35943.0,150.45,92816.0,150.59,51120.0,150.51,59438.0,150.41,38376.0,150.38,45171.0,150.79,168983.0
2026-08-12T05:33:17.595414-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,146.49,33179.0,146.65,173756.0,149.15,70220.0,148.77,26872.0,148.77,23294.0,148.83,22645.0,149.89,58214.0,150.14,47738.0,149.85,35943.0,150.45,92816.0,150.59,51120.0,150.51,59438.0,150.41,38376.0,150.38,45171.0,150.79,168983.0
2026-08-12T06:03:28.828073-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,146.49,33179.0,146.65,173756.0,149.15,70220.0,148.77,26872.0,148.77,23294.0,148.83,22645.0,149.89,58214.0,150.14,47738.0,149.85,35943.0,150.45,92816.0,150.59,51120.0,150.51,59438.0,150.41,38376.0,150.38,45171.0,150.79,168983.0
2026-08-12T06:33:39.762071-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,146.49,33179.0,146.65,173756.0,149.15,70220.0,148.77,26872.0,148.77,23294.0,148.83,22645.0,149.89,58214.0,150.14,47738.0,149.85,35943.0,150.45,92816.0,150.59,51120.0,150.51,59438.0,150.41,38376.0,150.38,45171.0,150.79,168983.0
2026-08-12T07:03:50.518367-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,146.49,33179.0,146.65,173756.0,149.15,70220.0,148.77,26872.0,148.77,23294.0,148.83,22645.0,149.89,58214.0,150.14,47738.0,149.85,35943.0,150.45,92816.0,150.59,51120.0,150.51,59438.0,150.41,38376.0,150.38,45171.0,150.79,168983.0
2026-08-12T07:34:01.592340-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,146.49,33179.0,146.65,173756.0,149.15,70220.0,148.77,26872.0,148.77,23294.0,148.83,22645.0,149.89,58214.0,150.14,47738.0,149.85,35943.0,150.45,92816.0,150.59,51120.0,150.51,59438.0,150.41,38376.0,150.38,45171.0,150.79,168983.0
2026-08-12T08:04:12.395115-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,146.49,33179.0,146.65,173756.0,149.15,70220.0,148.77,26872.0,148.77,23294.0,148.83,22645.0,149.89,58214.0,150.14,47738.0,149.85,35943.0,150.45,92816.0,150.59,51120.0,150.51,59438.0,150.41,38376.0,150.38,45171.0,150.79,168983.0
2026-08-12T08:34:23.398909-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,146.49,33179.0,146.65,173756.0,149.15,70220.0,148.77,26872.0,148.77,23294.0,148.83,22645.0,149.89,58214.0,150.14,47738.0,149.85,35943.0,150.45,92816.0,150.59,51120.0,150.51,59438.0,150.41,38376.0,150.38,45171.0,150.79,168983.0
2026-08-12T09:04:34.275297-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,146.49,33179.0,146.65,173756.0,149.15,70220.0,148.77,26872.0,148.77,23294.0,148.83,22645.0,149.89,58214.0,150.14,47738.0,149.85,35943.0,150.45,92816.0,150.59,51120.0,150.51,59438.0,150.41,38376.0,150.38,45171.0,150.79,168983.0
2026-08-12T09:34:45.075880-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,146.49,33179.0,146.65,173756.0,149.15,70220.0,148.77,26872.0,148.77,23294.0,148.83,22645.0,149.89,58214.0,150.14,47738.0,149.85,35943.0,150.45,92816.0,150.59,51120.0,150.51,59438.0,150.41,38376.0,150.38,45171.0,150.79,168983.0
2026-08-12T10:04:56.053511-04:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,146.65,173756.0,149.15,70220.0,148.77,26872.0,148.77,23294.0,148.83,22645.0,149.89,58214.0,150.14,47738.0,149.85,35943.0,150.45,92816.0,150.59,51120.0,150.51,59438.0,150.41,38376.0,150.38,45171.0,150.79,168983.0,147.79,72421.0
2026-08-12T10:35:06.954053-04:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,149.15,70220.0,148.77,26872.0,148.77,23294.0,148.83,22645.0,149.89,58214.0,150.14,47738.0,149.85,35943.0,150.45,92816.0,150.59,51120.0,150.51,59438.0,150.41,38376.0,150.38,45171.0,150.79,168983.0,147.2,97770.0,146.5,34135.0
