wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:01:55.104716-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.69,23556.0,149.5,32363.0,148.95,20310.0,148.56,23824.0,149.39,28936.0,149.74,58365.0,150.29,225378.0
2026-08-12T02:32:06.231833-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.69,23556.0,149.5,32363.0,148.95,20310.0,148.56,23824.0,149.39,28936.0,149.74,58365.0,150.29,225378.0
2026-08-12T03:02:17.512819-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.69,23556.0,149.5,32363.0,148.95,20310.0,148.56,23824.0,149.39,28936.0,149.74,58365.0,150.29,225378.0
2026-08-12T03:32:28.409579-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.69,23556.0,149.5,32363.0,148.95,20310.0,148.56,23824.0,149.39,28936.0,149.74,58365.0,150.29,225378.0
2026-08-12T04:02:39.316247-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.69,23556.0,149.5,32363.0,148.95,20310.0,148.56,23824.0,149.39,28936.0,149.74,58365.0,150.29,225378.0
2026-08-12T04:32:50.346329-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.69,23556.0,149.5,32363.0,148.95,20310.0,148.56,23824.0,149.39,28936.0,149.74,58365.0,150.29,225378.0
2026-08-12T05:03:01.242894-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.69,23556.0,149.5,32363.0,148.95,20310.0,148.56,23824.0,149.39,28936.0,149.74,58365.0,150.29,225378.0
2026-08-12T05:33:12.148025-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.69,23556.0,149.5,32363.0,148.95,20310.0,148.56,23824.0,149.39,28936.0,149.74,58365.0,150.29,225378.0
2026-08-12T06:03:23.198172-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.69,23556.0,149.5,32363.0,148.95,20310.0,148.56,23824.0,149.39,28936.0,149.74,58365.0,150.29,225378.0
2026-08-12T06:33:34.247179-04:00,,,,,,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,,,,,,,149.69,23556.0,149.5,32363.0,148.95,20310.0,148.56,23824.0,149.39,28936.0,149.74,58365.0,150.29,225378.0
