wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:02:02.370095-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,54.77,386365.0,54.67,366645.0,54.69,472432.0,54.68,302716.0,54.53,186938.0,54.46,162105.0,54.06,222438.0,54.3,219330.0,54.32,280733.0,54.38,820507.0
2026-08-12T02:32:13.784292-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,54.77,386365.0,54.67,366645.0,54.69,472432.0,54.68,302716.0,54.53,186938.0,54.46,162105.0,54.06,222438.0,54.3,219330.0,54.32,280733.0,54.38,820507.0
2026-08-12T03:02:24.686739-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,54.77,386365.0,54.67,366645.0,54.69,472432.0,54.68,302716.0,54.53,186938.0,54.46,162105.0,54.06,222438.0,54.3,219330.0,54.32,280733.0,54.38,820507.0
2026-08-12T03:32:35.625581-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,54.77,386365.0,54.67,366645.0,54.69,472432.0,54.68,302716.0,54.53,186938.0,54.46,162105.0,54.06,222438.0,54.3,219330.0,54.32,280733.0,54.38,820507.0
2026-08-12T04:02:46.576726-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,54.77,386365.0,54.67,366645.0,54.69,472432.0,54.68,302716.0,54.53,186938.0,54.46,162105.0,54.06,222438.0,54.3,219330.0,54.32,280733.0,54.38,820507.0
2026-08-12T04:32:57.478075-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,54.77,386365.0,54.67,366645.0,54.69,472432.0,54.68,302716.0,54.53,186938.0,54.46,162105.0,54.06,222438.0,54.3,219330.0,54.32,280733.0,54.38,820507.0
2026-08-12T05:03:08.486027-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,54.77,386365.0,54.67,366645.0,54.69,472432.0,54.68,302716.0,54.53,186938.0,54.46,162105.0,54.06,222438.0,54.3,219330.0,54.32,280733.0,54.38,820507.0
2026-08-12T05:33:19.289267-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,54.77,386365.0,54.67,366645.0,54.69,472432.0,54.68,302716.0,54.53,186938.0,54.46,162105.0,54.06,222438.0,54.3,219330.0,54.32,280733.0,54.38,820507.0
2026-08-12T06:03:30.520307-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,54.77,386365.0,54.67,366645.0,54.69,472432.0,54.68,302716.0,54.53,186938.0,54.46,162105.0,54.06,222438.0,54.3,219330.0,54.32,280733.0,54.38,820507.0
2026-08-12T06:33:41.427498-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,54.77,386365.0,54.67,366645.0,54.69,472432.0,54.68,302716.0,54.53,186938.0,54.46,162105.0,54.06,222438.0,54.3,219330.0,54.32,280733.0,54.38,820507.0
2026-08-12T07:03:52.313501-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,54.77,386365.0,54.67,366645.0,54.69,472432.0,54.68,302716.0,54.53,186938.0,54.46,162105.0,54.06,222438.0,54.3,219330.0,54.32,280733.0,54.38,820507.0
2026-08-12T07:34:03.282630-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,54.77,386365.0,54.67,366645.0,54.69,472432.0,54.68,302716.0,54.53,186938.0,54.46,162105.0,54.06,222438.0,54.3,219330.0,54.32,280733.0,54.38,820507.0
2026-08-12T08:04:14.064907-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,54.77,386365.0,54.67,366645.0,54.69,472432.0,54.68,302716.0,54.53,186938.0,54.46,162105.0,54.06,222438.0,54.3,219330.0,54.32,280733.0,54.38,820507.0
2026-08-12T08:34:25.131272-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,54.77,386365.0,54.67,366645.0,54.69,472432.0,54.68,302716.0,54.53,186938.0,54.46,162105.0,54.06,222438.0,54.3,219330.0,54.32,280733.0,54.38,820507.0
2026-08-12T09:04:35.960280-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,54.77,386365.0,54.67,366645.0,54.69,472432.0,54.68,302716.0,54.53,186938.0,54.46,162105.0,54.06,222438.0,54.3,219330.0,54.32,280733.0,54.38,820507.0
2026-08-12T09:34:46.758014-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,54.77,386365.0,54.67,366645.0,54.69,472432.0,54.68,302716.0,54.53,186938.0,54.46,162105.0,54.06,222438.0,54.3,219330.0,54.32,280733.0,54.38,820507.0
