wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:02:03.019145-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,31.45,106812.0,31.55,79513.0,31.63,58978.0,31.67,60228.0,31.55,60028.0,31.5,174507.0,31.62,132567.0,31.63,104098.0,31.46,142391.0,31.36,560959.0
2026-08-12T02:32:14.364483-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,31.45,106812.0,31.55,79513.0,31.63,58978.0,31.67,60228.0,31.55,60028.0,31.5,174507.0,31.62,132567.0,31.63,104098.0,31.46,142391.0,31.36,560959.0
2026-08-12T03:02:25.317111-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,31.45,106812.0,31.55,79513.0,31.63,58978.0,31.67,60228.0,31.55,60028.0,31.5,174507.0,31.62,132567.0,31.63,104098.0,31.46,142391.0,31.36,560959.0
2026-08-12T03:32:36.245668-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,31.45,106812.0,31.55,79513.0,31.63,58978.0,31.67,60228.0,31.55,60028.0,31.5,174507.0,31.62,132567.0,31.63,104098.0,31.46,142391.0,31.36,560959.0
2026-08-12T04:02:47.199930-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,31.45,106812.0,31.55,79513.0,31.63,58978.0,31.67,60228.0,31.55,60028.0,31.5,174507.0,31.62,132567.0,31.63,104098.0,31.46,142391.0,31.36,560959.0
2026-08-12T04:32:58.136559-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,31.45,106812.0,31.55,79513.0,31.63,58978.0,31.67,60228.0,31.55,60028.0,31.5,174507.0,31.62,132567.0,31.63,104098.0,31.46,142391.0,31.36,560959.0
2026-08-12T05:03:09.080427-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,31.45,106812.0,31.55,79513.0,31.63,58978.0,31.67,60228.0,31.55,60028.0,31.5,174507.0,31.62,132567.0,31.63,104098.0,31.46,142391.0,31.36,560959.0
2026-08-12T05:33:19.952215-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,31.45,106812.0,31.55,79513.0,31.63,58978.0,31.67,60228.0,31.55,60028.0,31.5,174507.0,31.62,132567.0,31.63,104098.0,31.46,142391.0,31.36,560959.0
2026-08-12T06:03:31.155660-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,31.45,106812.0,31.55,79513.0,31.63,58978.0,31.67,60228.0,31.55,60028.0,31.5,174507.0,31.62,132567.0,31.63,104098.0,31.46,142391.0,31.36,560959.0
2026-08-12T06:33:42.079483-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,31.45,106812.0,31.55,79513.0,31.63,58978.0,31.67,60228.0,31.55,60028.0,31.5,174507.0,31.62,132567.0,31.63,104098.0,31.46,142391.0,31.36,560959.0
