wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:02:03.210883-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,8.79,2387080.0,8.83,5478275.0,8.61,4266875.0,8.71,1676288.0,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0
2026-08-12T02:32:14.557575-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,8.79,2387080.0,8.83,5478275.0,8.61,4266875.0,8.71,1676288.0,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0
2026-08-12T03:02:25.495734-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,8.79,2387080.0,8.83,5478275.0,8.61,4266875.0,8.71,1676288.0,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0
2026-08-12T03:32:36.444633-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,8.79,2387080.0,8.83,5478275.0,8.61,4266875.0,8.71,1676288.0,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0
2026-08-12T04:02:47.378705-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,8.79,2387080.0,8.83,5478275.0,8.61,4266875.0,8.71,1676288.0,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0
2026-08-12T04:32:58.322331-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,8.79,2387080.0,8.83,5478275.0,8.61,4266875.0,8.71,1676288.0,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0
2026-08-12T05:03:09.263060-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,8.79,2387080.0,8.83,5478275.0,8.61,4266875.0,8.71,1676288.0,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0
2026-08-12T05:33:20.142727-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,8.79,2387080.0,8.83,5478275.0,8.61,4266875.0,8.71,1676288.0,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0
2026-08-12T06:03:31.340475-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,8.79,2387080.0,8.83,5478275.0,8.61,4266875.0,8.71,1676288.0,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0
2026-08-12T06:33:42.264975-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,8.79,2387080.0,8.83,5478275.0,8.61,4266875.0,8.71,1676288.0,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0
2026-08-12T07:03:53.162792-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,8.79,2387080.0,8.83,5478275.0,8.61,4266875.0,8.71,1676288.0,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0
2026-08-12T07:34:04.076891-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,8.79,2387080.0,8.83,5478275.0,8.61,4266875.0,8.71,1676288.0,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0
2026-08-12T08:04:14.957852-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,8.79,2387080.0,8.83,5478275.0,8.61,4266875.0,8.71,1676288.0,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0
2026-08-12T08:34:25.988631-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,8.79,2387080.0,8.83,5478275.0,8.61,4266875.0,8.71,1676288.0,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0
2026-08-12T09:04:36.728403-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,8.79,2387080.0,8.83,5478275.0,8.61,4266875.0,8.71,1676288.0,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0
2026-08-12T09:34:47.736899-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,8.79,2387080.0,8.83,5478275.0,8.61,4266875.0,8.71,1676288.0,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0
2026-08-12T10:04:58.511771-04:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,8.83,5478275.0,8.61,4266875.0,8.71,1676288.0,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0,8.28,1921221.0
2026-08-12T10:35:09.577612-04:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,8.61,4266875.0,8.71,1676288.0,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0,8.21,2549507.0,8.17,1138735.0
2026-08-12T11:05:20.465400-04:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,8.71,1676288.0,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0,8.21,2549507.0,8.13,1673788.0,8.13,1475600.0
2026-08-12T11:35:31.216552-04:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,8.76,2703468.0,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0,8.21,2549507.0,8.13,1673788.0,8.09,2017381.0,8.1,1546215.0
2026-08-12T12:05:41.958669-04:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,8.56,3326659.0,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0,8.21,2549507.0,8.13,1673788.0,8.09,2017381.0,8.11,2196488.0,8.06,1658222.0
2026-08-12T12:35:55.528866-04:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,8.42,3599444.0,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0,8.21,2549507.0,8.13,1673788.0,8.09,2017381.0,8.11,2196488.0,8.03,2552946.0,8.1,1739096.0
2026-08-12T13:06:06.387928-04:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,8.41,4044101.0,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0,8.21,2549507.0,8.13,1673788.0,8.09,2017381.0,8.11,2196488.0,8.03,2552946.0,8.13,2423529.0,8.15,691832.0
2026-08-12T13:36:17.496977-04:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,8.39,3125696.0,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0,8.21,2549507.0,8.13,1673788.0,8.09,2017381.0,8.11,2196488.0,8.03,2552946.0,8.13,2423529.0,8.13,942976.0,8.13,576051.0
2026-08-12T14:06:30.175504-04:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,8.36,3547032.0,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0,8.21,2549507.0,8.13,1673788.0,8.09,2017381.0,8.11,2196488.0,8.03,2552946.0,8.13,2423529.0,8.13,942976.0,8.13,712070.0,8.14,406780.0
2026-08-12T14:36:41.263050-04:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,8.31,2676876.0,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0,8.21,2549507.0,8.13,1673788.0,8.09,2017381.0,8.11,2196488.0,8.03,2552946.0,8.13,2423529.0,8.13,942976.0,8.13,712070.0,8.12,562622.0,8.11,930438.0
2026-08-12T15:06:53.213322-04:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,8.3,2584587.0,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0,8.21,2549507.0,8.13,1673788.0,8.09,2017381.0,8.11,2196488.0,8.03,2552946.0,8.13,2423529.0,8.13,942976.0,8.13,712070.0,8.12,562622.0,8.12,1043472.0,8.09,509882.0
2026-08-12T15:37:04.384493-04:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,8.37,3722930.0,8.44,4541231.0,8.44,7393443.0,8.21,2549507.0,8.13,1673788.0,8.09,2017381.0,8.11,2196488.0,8.03,2552946.0,8.13,2423529.0,8.13,942976.0,8.13,712070.0,8.12,562622.0,8.12,1043472.0,8.06,827860.0,8.01,1852423.0
2026-08-12T16:07:17.307627-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,8.44,4541231.0,8.44,7393443.0,8.21,2549507.0,8.13,1673788.0,8.09,2017381.0,8.11,2196488.0,8.03,2552946.0,8.13,2423529.0,8.13,942976.0,8.13,712070.0,8.12,562622.0,8.12,1043472.0,8.06,827860.0,7.99,2579299.0,7.95,2338567.0
2026-08-12T16:37:29.045742-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,8.44,4541231.0,8.44,7393443.0,8.21,2549507.0,8.13,1673788.0,8.09,2017381.0,8.11,2196488.0,8.03,2552946.0,8.13,2423529.0,8.13,942976.0,8.13,712070.0,8.12,562622.0,8.12,1043472.0,8.06,827860.0,7.99,2579299.0,7.95,4293028.0
2026-08-12T17:07:39.965240-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,8.44,4541231.0,8.44,7393443.0,8.21,2549507.0,8.13,1673788.0,8.09,2017381.0,8.11,2196488.0,8.03,2552946.0,8.13,2423529.0,8.13,942976.0,8.13,712070.0,8.12,562622.0,8.12,1043472.0,8.06,827860.0,7.99,2579299.0,7.95,4293028.0
