wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:01:55.699805-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,201.31,379708.0,200.2,232018.0,199.35,193813.0,198.99,210477.0,198.66,194734.0,198.5,238148.0,197.64,254898.0,198.19,269764.0,197.71,286906.0,199.36,251350.0,199.95,294680.0,200.46,831787.0
2026-08-12T02:32:06.809752-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,201.31,379708.0,200.2,232018.0,199.35,193813.0,198.99,210477.0,198.66,194734.0,198.5,238148.0,197.64,254898.0,198.19,269764.0,197.71,286906.0,199.36,251350.0,199.95,294680.0,200.46,831787.0
2026-08-12T03:02:18.067124-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,201.31,379708.0,200.2,232018.0,199.35,193813.0,198.99,210477.0,198.66,194734.0,198.5,238148.0,197.64,254898.0,198.19,269764.0,197.71,286906.0,199.36,251350.0,199.95,294680.0,200.46,831787.0
2026-08-12T03:32:28.971433-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,201.31,379708.0,200.2,232018.0,199.35,193813.0,198.99,210477.0,198.66,194734.0,198.5,238148.0,197.64,254898.0,198.19,269764.0,197.71,286906.0,199.36,251350.0,199.95,294680.0,200.46,831787.0
2026-08-12T04:02:39.882506-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,201.31,379708.0,200.2,232018.0,199.35,193813.0,198.99,210477.0,198.66,194734.0,198.5,238148.0,197.64,254898.0,198.19,269764.0,197.71,286906.0,199.36,251350.0,199.95,294680.0,200.46,831787.0
2026-08-12T04:32:50.908671-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,201.31,379708.0,200.2,232018.0,199.35,193813.0,198.99,210477.0,198.66,194734.0,198.5,238148.0,197.64,254898.0,198.19,269764.0,197.71,286906.0,199.36,251350.0,199.95,294680.0,200.46,831787.0
2026-08-12T05:03:01.817198-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,201.31,379708.0,200.2,232018.0,199.35,193813.0,198.99,210477.0,198.66,194734.0,198.5,238148.0,197.64,254898.0,198.19,269764.0,197.71,286906.0,199.36,251350.0,199.95,294680.0,200.46,831787.0
2026-08-12T05:33:12.711349-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,201.31,379708.0,200.2,232018.0,199.35,193813.0,198.99,210477.0,198.66,194734.0,198.5,238148.0,197.64,254898.0,198.19,269764.0,197.71,286906.0,199.36,251350.0,199.95,294680.0,200.46,831787.0
2026-08-12T06:03:23.835199-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,201.31,379708.0,200.2,232018.0,199.35,193813.0,198.99,210477.0,198.66,194734.0,198.5,238148.0,197.64,254898.0,198.19,269764.0,197.71,286906.0,199.36,251350.0,199.95,294680.0,200.46,831787.0
2026-08-12T06:33:34.817889-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,201.31,379708.0,200.2,232018.0,199.35,193813.0,198.99,210477.0,198.66,194734.0,198.5,238148.0,197.64,254898.0,198.19,269764.0,197.71,286906.0,199.36,251350.0,199.95,294680.0,200.46,831787.0
