wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:01:59.682479-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,85.77,51327.0,85.62,173779.0,86.43,56410.0,86.38,44381.0,86.69,33357.0,86.64,28641.0,87.2,47566.0,87.45,42285.0,87.13,22879.0,87.24,33486.0,87.58,28741.0,87.52,32502.0,87.55,47491.0,87.54,45607.0,87.58,186859.0
2026-08-12T02:32:10.974311-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,85.77,51327.0,85.62,173779.0,86.43,56410.0,86.38,44381.0,86.69,33357.0,86.64,28641.0,87.2,47566.0,87.45,42285.0,87.13,22879.0,87.24,33486.0,87.58,28741.0,87.52,32502.0,87.55,47491.0,87.54,45607.0,87.58,186859.0
2026-08-12T03:02:22.053793-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,85.77,51327.0,85.62,173779.0,86.43,56410.0,86.38,44381.0,86.69,33357.0,86.64,28641.0,87.2,47566.0,87.45,42285.0,87.13,22879.0,87.24,33486.0,87.58,28741.0,87.52,32502.0,87.55,47491.0,87.54,45607.0,87.58,186859.0
2026-08-12T03:32:32.959406-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,85.77,51327.0,85.62,173779.0,86.43,56410.0,86.38,44381.0,86.69,33357.0,86.64,28641.0,87.2,47566.0,87.45,42285.0,87.13,22879.0,87.24,33486.0,87.58,28741.0,87.52,32502.0,87.55,47491.0,87.54,45607.0,87.58,186859.0
2026-08-12T04:02:43.910252-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,85.77,51327.0,85.62,173779.0,86.43,56410.0,86.38,44381.0,86.69,33357.0,86.64,28641.0,87.2,47566.0,87.45,42285.0,87.13,22879.0,87.24,33486.0,87.58,28741.0,87.52,32502.0,87.55,47491.0,87.54,45607.0,87.58,186859.0
2026-08-12T04:32:54.835838-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,85.77,51327.0,85.62,173779.0,86.43,56410.0,86.38,44381.0,86.69,33357.0,86.64,28641.0,87.2,47566.0,87.45,42285.0,87.13,22879.0,87.24,33486.0,87.58,28741.0,87.52,32502.0,87.55,47491.0,87.54,45607.0,87.58,186859.0
2026-08-12T05:03:05.807881-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,85.77,51327.0,85.62,173779.0,86.43,56410.0,86.38,44381.0,86.69,33357.0,86.64,28641.0,87.2,47566.0,87.45,42285.0,87.13,22879.0,87.24,33486.0,87.58,28741.0,87.52,32502.0,87.55,47491.0,87.54,45607.0,87.58,186859.0
2026-08-12T05:33:16.641516-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,85.77,51327.0,85.62,173779.0,86.43,56410.0,86.38,44381.0,86.69,33357.0,86.64,28641.0,87.2,47566.0,87.45,42285.0,87.13,22879.0,87.24,33486.0,87.58,28741.0,87.52,32502.0,87.55,47491.0,87.54,45607.0,87.58,186859.0
2026-08-12T06:03:27.869386-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,85.77,51327.0,85.62,173779.0,86.43,56410.0,86.38,44381.0,86.69,33357.0,86.64,28641.0,87.2,47566.0,87.45,42285.0,87.13,22879.0,87.24,33486.0,87.58,28741.0,87.52,32502.0,87.55,47491.0,87.54,45607.0,87.58,186859.0
2026-08-12T06:33:38.836910-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,85.77,51327.0,85.62,173779.0,86.43,56410.0,86.38,44381.0,86.69,33357.0,86.64,28641.0,87.2,47566.0,87.45,42285.0,87.13,22879.0,87.24,33486.0,87.58,28741.0,87.52,32502.0,87.55,47491.0,87.54,45607.0,87.58,186859.0
