wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:01:53.082748-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,824.7,165058.0,813.86,458385.0,800.0,649162.0,806.52,412701.0,809.54,294739.0,818.86,233156.0,811.93,219205.0,810.27,157986.0,809.2,93647.0,815.04,132458.0,818.86,178015.0,816.39,213182.0,819.72,129348.0,817.67,149586.0,820.19,389551.0
2026-08-12T02:32:04.306637-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,824.7,165058.0,813.86,458385.0,800.0,649162.0,806.52,412701.0,809.54,294739.0,818.86,233156.0,811.93,219205.0,810.27,157986.0,809.2,93647.0,815.04,132458.0,818.86,178015.0,816.39,213182.0,819.72,129348.0,817.67,149586.0,820.19,389551.0
2026-08-12T03:02:15.585338-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,824.7,165058.0,813.86,458385.0,800.0,649162.0,806.52,412701.0,809.54,294739.0,818.86,233156.0,811.93,219205.0,810.27,157986.0,809.2,93647.0,815.04,132458.0,818.86,178015.0,816.39,213182.0,819.72,129348.0,817.67,149586.0,820.19,389551.0
2026-08-12T03:32:26.514140-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,824.7,165058.0,813.86,458385.0,800.0,649162.0,806.52,412701.0,809.54,294739.0,818.86,233156.0,811.93,219205.0,810.27,157986.0,809.2,93647.0,815.04,132458.0,818.86,178015.0,816.39,213182.0,819.72,129348.0,817.67,149586.0,820.19,389551.0
2026-08-12T04:02:37.478182-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,824.7,165058.0,813.86,458385.0,800.0,649162.0,806.52,412701.0,809.54,294739.0,818.86,233156.0,811.93,219205.0,810.27,157986.0,809.2,93647.0,815.04,132458.0,818.86,178015.0,816.39,213182.0,819.72,129348.0,817.67,149586.0,820.19,389551.0
2026-08-12T04:32:48.456398-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,824.7,165058.0,813.86,458385.0,800.0,649162.0,806.52,412701.0,809.54,294739.0,818.86,233156.0,811.93,219205.0,810.27,157986.0,809.2,93647.0,815.04,132458.0,818.86,178015.0,816.39,213182.0,819.72,129348.0,817.67,149586.0,820.19,389551.0
2026-08-12T05:02:59.341465-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,824.7,165058.0,813.86,458385.0,800.0,649162.0,806.52,412701.0,809.54,294739.0,818.86,233156.0,811.93,219205.0,810.27,157986.0,809.2,93647.0,815.04,132458.0,818.86,178015.0,816.39,213182.0,819.72,129348.0,817.67,149586.0,820.19,389551.0
2026-08-12T05:33:10.275152-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,824.7,165058.0,813.86,458385.0,800.0,649162.0,806.52,412701.0,809.54,294739.0,818.86,233156.0,811.93,219205.0,810.27,157986.0,809.2,93647.0,815.04,132458.0,818.86,178015.0,816.39,213182.0,819.72,129348.0,817.67,149586.0,820.19,389551.0
2026-08-12T06:03:21.328067-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,824.7,165058.0,813.86,458385.0,800.0,649162.0,806.52,412701.0,809.54,294739.0,818.86,233156.0,811.93,219205.0,810.27,157986.0,809.2,93647.0,815.04,132458.0,818.86,178015.0,816.39,213182.0,819.72,129348.0,817.67,149586.0,820.19,389551.0
2026-08-12T06:33:32.347773-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,824.7,165058.0,813.86,458385.0,800.0,649162.0,806.52,412701.0,809.54,294739.0,818.86,233156.0,811.93,219205.0,810.27,157986.0,809.2,93647.0,815.04,132458.0,818.86,178015.0,816.39,213182.0,819.72,129348.0,817.67,149586.0,820.19,389551.0
2026-08-12T07:03:43.266930-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,824.7,165058.0,813.86,458385.0,800.0,649162.0,806.52,412701.0,809.54,294739.0,818.86,233156.0,811.93,219205.0,810.27,157986.0,809.2,93647.0,815.04,132458.0,818.86,178015.0,816.39,213182.0,819.72,129348.0,817.67,149586.0,820.19,389551.0
2026-08-12T07:33:54.146282-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,824.7,165058.0,813.86,458385.0,800.0,649162.0,806.52,412701.0,809.54,294739.0,818.86,233156.0,811.93,219205.0,810.27,157986.0,809.2,93647.0,815.04,132458.0,818.86,178015.0,816.39,213182.0,819.72,129348.0,817.67,149586.0,820.19,389551.0
2026-08-12T08:04:05.095049-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,824.7,165058.0,813.86,458385.0,800.0,649162.0,806.52,412701.0,809.54,294739.0,818.86,233156.0,811.93,219205.0,810.27,157986.0,809.2,93647.0,815.04,132458.0,818.86,178015.0,816.39,213182.0,819.72,129348.0,817.67,149586.0,820.19,389551.0
2026-08-12T08:34:15.939660-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,824.7,165058.0,813.86,458385.0,800.0,649162.0,806.52,412701.0,809.54,294739.0,818.86,233156.0,811.93,219205.0,810.27,157986.0,809.2,93647.0,815.04,132458.0,818.86,178015.0,816.39,213182.0,819.72,129348.0,817.67,149586.0,820.19,389551.0
2026-08-12T09:04:26.956239-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,824.7,165058.0,813.86,458385.0,800.0,649162.0,806.52,412701.0,809.54,294739.0,818.86,233156.0,811.93,219205.0,810.27,157986.0,809.2,93647.0,815.04,132458.0,818.86,178015.0,816.39,213182.0,819.72,129348.0,817.67,149586.0,820.19,389551.0
