wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:01:56.462668-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,211.2,1004158.0,210.76,534553.0,210.16,416227.0,210.25,391933.0,210.67,242707.0,209.72,260321.0,208.72,361130.0,209.45,226343.0,208.74,248983.0,209.99,337377.0,211.04,320615.0,212.37,810528.0
2026-08-12T02:32:07.575695-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,211.2,1004158.0,210.76,534553.0,210.16,416227.0,210.25,391933.0,210.67,242707.0,209.72,260321.0,208.72,361130.0,209.45,226343.0,208.74,248983.0,209.99,337377.0,211.04,320615.0,212.37,810528.0
2026-08-12T03:02:18.814598-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,211.2,1004158.0,210.76,534553.0,210.16,416227.0,210.25,391933.0,210.67,242707.0,209.72,260321.0,208.72,361130.0,209.45,226343.0,208.74,248983.0,209.99,337377.0,211.04,320615.0,212.37,810528.0
2026-08-12T03:32:29.726191-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,211.2,1004158.0,210.76,534553.0,210.16,416227.0,210.25,391933.0,210.67,242707.0,209.72,260321.0,208.72,361130.0,209.45,226343.0,208.74,248983.0,209.99,337377.0,211.04,320615.0,212.37,810528.0
2026-08-12T04:02:40.693611-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,211.2,1004158.0,210.76,534553.0,210.16,416227.0,210.25,391933.0,210.67,242707.0,209.72,260321.0,208.72,361130.0,209.45,226343.0,208.74,248983.0,209.99,337377.0,211.04,320615.0,212.37,810528.0
2026-08-12T04:32:51.662261-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,211.2,1004158.0,210.76,534553.0,210.16,416227.0,210.25,391933.0,210.67,242707.0,209.72,260321.0,208.72,361130.0,209.45,226343.0,208.74,248983.0,209.99,337377.0,211.04,320615.0,212.37,810528.0
2026-08-12T05:03:02.581428-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,211.2,1004158.0,210.76,534553.0,210.16,416227.0,210.25,391933.0,210.67,242707.0,209.72,260321.0,208.72,361130.0,209.45,226343.0,208.74,248983.0,209.99,337377.0,211.04,320615.0,212.37,810528.0
2026-08-12T05:33:13.461544-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,211.2,1004158.0,210.76,534553.0,210.16,416227.0,210.25,391933.0,210.67,242707.0,209.72,260321.0,208.72,361130.0,209.45,226343.0,208.74,248983.0,209.99,337377.0,211.04,320615.0,212.37,810528.0
2026-08-12T06:03:24.576097-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,211.2,1004158.0,210.76,534553.0,210.16,416227.0,210.25,391933.0,210.67,242707.0,209.72,260321.0,208.72,361130.0,209.45,226343.0,208.74,248983.0,209.99,337377.0,211.04,320615.0,212.37,810528.0
2026-08-12T06:33:35.576125-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,211.2,1004158.0,210.76,534553.0,210.16,416227.0,210.25,391933.0,210.67,242707.0,209.72,260321.0,208.72,361130.0,209.45,226343.0,208.74,248983.0,209.99,337377.0,211.04,320615.0,212.37,810528.0
