wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:01:55.299996-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,70.2,41613.0,69.92,27854.0,69.55,23606.0,69.17,22069.0,69.19,17119.0,69.44,14189.0,69.18,19851.0,68.99,11388.0,68.88,16426.0,69.04,14216.0,68.91,30743.0,69.01,121638.0
2026-08-12T02:32:06.424741-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,70.2,41613.0,69.92,27854.0,69.55,23606.0,69.17,22069.0,69.19,17119.0,69.44,14189.0,69.18,19851.0,68.99,11388.0,68.88,16426.0,69.04,14216.0,68.91,30743.0,69.01,121638.0
2026-08-12T03:02:17.700688-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,70.2,41613.0,69.92,27854.0,69.55,23606.0,69.17,22069.0,69.19,17119.0,69.44,14189.0,69.18,19851.0,68.99,11388.0,68.88,16426.0,69.04,14216.0,68.91,30743.0,69.01,121638.0
2026-08-12T03:32:28.591847-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,70.2,41613.0,69.92,27854.0,69.55,23606.0,69.17,22069.0,69.19,17119.0,69.44,14189.0,69.18,19851.0,68.99,11388.0,68.88,16426.0,69.04,14216.0,68.91,30743.0,69.01,121638.0
2026-08-12T04:02:39.507291-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,70.2,41613.0,69.92,27854.0,69.55,23606.0,69.17,22069.0,69.19,17119.0,69.44,14189.0,69.18,19851.0,68.99,11388.0,68.88,16426.0,69.04,14216.0,68.91,30743.0,69.01,121638.0
2026-08-12T04:32:50.534409-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,70.2,41613.0,69.92,27854.0,69.55,23606.0,69.17,22069.0,69.19,17119.0,69.44,14189.0,69.18,19851.0,68.99,11388.0,68.88,16426.0,69.04,14216.0,68.91,30743.0,69.01,121638.0
2026-08-12T05:03:01.430083-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,70.2,41613.0,69.92,27854.0,69.55,23606.0,69.17,22069.0,69.19,17119.0,69.44,14189.0,69.18,19851.0,68.99,11388.0,68.88,16426.0,69.04,14216.0,68.91,30743.0,69.01,121638.0
2026-08-12T05:33:12.334627-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,70.2,41613.0,69.92,27854.0,69.55,23606.0,69.17,22069.0,69.19,17119.0,69.44,14189.0,69.18,19851.0,68.99,11388.0,68.88,16426.0,69.04,14216.0,68.91,30743.0,69.01,121638.0
2026-08-12T06:03:23.382605-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,70.2,41613.0,69.92,27854.0,69.55,23606.0,69.17,22069.0,69.19,17119.0,69.44,14189.0,69.18,19851.0,68.99,11388.0,68.88,16426.0,69.04,14216.0,68.91,30743.0,69.01,121638.0
2026-08-12T06:33:34.436155-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,70.2,41613.0,69.92,27854.0,69.55,23606.0,69.17,22069.0,69.19,17119.0,69.44,14189.0,69.18,19851.0,68.99,11388.0,68.88,16426.0,69.04,14216.0,68.91,30743.0,69.01,121638.0
2026-08-12T07:03:45.303163-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,70.2,41613.0,69.92,27854.0,69.55,23606.0,69.17,22069.0,69.19,17119.0,69.44,14189.0,69.18,19851.0,68.99,11388.0,68.88,16426.0,69.04,14216.0,68.91,30743.0,69.01,121638.0
2026-08-12T07:33:56.249939-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,70.2,41613.0,69.92,27854.0,69.55,23606.0,69.17,22069.0,69.19,17119.0,69.44,14189.0,69.18,19851.0,68.99,11388.0,68.88,16426.0,69.04,14216.0,68.91,30743.0,69.01,121638.0
2026-08-12T08:04:07.164576-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,70.2,41613.0,69.92,27854.0,69.55,23606.0,69.17,22069.0,69.19,17119.0,69.44,14189.0,69.18,19851.0,68.99,11388.0,68.88,16426.0,69.04,14216.0,68.91,30743.0,69.01,121638.0
2026-08-12T08:34:18.016721-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,70.2,41613.0,69.92,27854.0,69.55,23606.0,69.17,22069.0,69.19,17119.0,69.44,14189.0,69.18,19851.0,68.99,11388.0,68.88,16426.0,69.04,14216.0,68.91,30743.0,69.01,121638.0
2026-08-12T09:04:29.006646-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,70.2,41613.0,69.92,27854.0,69.55,23606.0,69.17,22069.0,69.19,17119.0,69.44,14189.0,69.18,19851.0,68.99,11388.0,68.88,16426.0,69.04,14216.0,68.91,30743.0,69.01,121638.0
2026-08-12T09:34:39.741666-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,70.2,41613.0,69.92,27854.0,69.55,23606.0,69.17,22069.0,69.19,17119.0,69.44,14189.0,69.18,19851.0,68.99,11388.0,68.88,16426.0,69.04,14216.0,68.91,30743.0,69.01,121638.0
2026-08-12T10:04:50.770948-04:00,,,,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,,,,,,,69.92,27854.0,69.55,23606.0,69.17,22069.0,69.19,17119.0,69.44,14189.0,69.18,19851.0,68.99,11388.0,68.88,16426.0,69.04,14216.0,68.91,30743.0,69.01,121638.0,74.44,276245.0
2026-08-12T10:35:01.603793-04:00,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,,,,,,,69.55,23606.0,69.17,22069.0,69.19,17119.0,69.44,14189.0,69.18,19851.0,68.99,11388.0,68.88,16426.0,69.04,14216.0,68.91,30743.0,69.01,121638.0,74.48,316953.0,74.73,86291.0
2026-08-12T11:05:12.647284-04:00,,,,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,,,,,,,69.17,22069.0,69.19,17119.0,69.44,14189.0,69.18,19851.0,68.99,11388.0,68.88,16426.0,69.04,14216.0,68.91,30743.0,69.01,121638.0,74.48,316953.0,75.27,135027.0,75.78,49246.0
