wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:01:57.254493-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,104.37,66595.0,105.24,101032.0,105.09,33828.0,104.44,55168.0,104.38,30827.0,104.85,17316.0,104.55,28291.0,104.83,20129.0,104.55,32815.0,104.89,142798.0
2026-08-12T02:32:08.344939-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,104.37,66595.0,105.24,101032.0,105.09,33828.0,104.44,55168.0,104.38,30827.0,104.85,17316.0,104.55,28291.0,104.83,20129.0,104.55,32815.0,104.89,142798.0
2026-08-12T03:02:19.585941-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,104.37,66595.0,105.24,101032.0,105.09,33828.0,104.44,55168.0,104.38,30827.0,104.85,17316.0,104.55,28291.0,104.83,20129.0,104.55,32815.0,104.89,142798.0
2026-08-12T03:32:30.496866-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,104.37,66595.0,105.24,101032.0,105.09,33828.0,104.44,55168.0,104.38,30827.0,104.85,17316.0,104.55,28291.0,104.83,20129.0,104.55,32815.0,104.89,142798.0
2026-08-12T04:02:41.458997-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,104.37,66595.0,105.24,101032.0,105.09,33828.0,104.44,55168.0,104.38,30827.0,104.85,17316.0,104.55,28291.0,104.83,20129.0,104.55,32815.0,104.89,142798.0
2026-08-12T04:32:52.399758-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,104.37,66595.0,105.24,101032.0,105.09,33828.0,104.44,55168.0,104.38,30827.0,104.85,17316.0,104.55,28291.0,104.83,20129.0,104.55,32815.0,104.89,142798.0
2026-08-12T05:03:03.332539-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,104.37,66595.0,105.24,101032.0,105.09,33828.0,104.44,55168.0,104.38,30827.0,104.85,17316.0,104.55,28291.0,104.83,20129.0,104.55,32815.0,104.89,142798.0
2026-08-12T05:33:14.219255-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,104.37,66595.0,105.24,101032.0,105.09,33828.0,104.44,55168.0,104.38,30827.0,104.85,17316.0,104.55,28291.0,104.83,20129.0,104.55,32815.0,104.89,142798.0
2026-08-12T06:03:25.338291-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,104.37,66595.0,105.24,101032.0,105.09,33828.0,104.44,55168.0,104.38,30827.0,104.85,17316.0,104.55,28291.0,104.83,20129.0,104.55,32815.0,104.89,142798.0
2026-08-12T06:33:36.337456-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,104.37,66595.0,105.24,101032.0,105.09,33828.0,104.44,55168.0,104.38,30827.0,104.85,17316.0,104.55,28291.0,104.83,20129.0,104.55,32815.0,104.89,142798.0
2026-08-12T07:03:47.178045-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,104.37,66595.0,105.24,101032.0,105.09,33828.0,104.44,55168.0,104.38,30827.0,104.85,17316.0,104.55,28291.0,104.83,20129.0,104.55,32815.0,104.89,142798.0
2026-08-12T07:33:58.130687-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,104.37,66595.0,105.24,101032.0,105.09,33828.0,104.44,55168.0,104.38,30827.0,104.85,17316.0,104.55,28291.0,104.83,20129.0,104.55,32815.0,104.89,142798.0
2026-08-12T08:04:09.056831-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,104.37,66595.0,105.24,101032.0,105.09,33828.0,104.44,55168.0,104.38,30827.0,104.85,17316.0,104.55,28291.0,104.83,20129.0,104.55,32815.0,104.89,142798.0
2026-08-12T08:34:19.891896-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,104.37,66595.0,105.24,101032.0,105.09,33828.0,104.44,55168.0,104.38,30827.0,104.85,17316.0,104.55,28291.0,104.83,20129.0,104.55,32815.0,104.89,142798.0
2026-08-12T09:04:30.920137-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,104.37,66595.0,105.24,101032.0,105.09,33828.0,104.44,55168.0,104.38,30827.0,104.85,17316.0,104.55,28291.0,104.83,20129.0,104.55,32815.0,104.89,142798.0
