wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:01:58.001196-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,126.04,66726.0,125.44,112750.0,126.54,59540.0,126.6,72022.0,126.64,86308.0,126.72,38236.0,126.62,56143.0,126.68,55450.0,126.66,66382.0,126.31,316539.0
2026-08-12T02:32:09.203659-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,126.04,66726.0,125.44,112750.0,126.54,59540.0,126.6,72022.0,126.64,86308.0,126.72,38236.0,126.62,56143.0,126.68,55450.0,126.66,66382.0,126.31,316539.0
2026-08-12T03:02:20.346683-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,126.04,66726.0,125.44,112750.0,126.54,59540.0,126.6,72022.0,126.64,86308.0,126.72,38236.0,126.62,56143.0,126.68,55450.0,126.66,66382.0,126.31,316539.0
2026-08-12T03:32:31.259687-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,126.04,66726.0,125.44,112750.0,126.54,59540.0,126.6,72022.0,126.64,86308.0,126.72,38236.0,126.62,56143.0,126.68,55450.0,126.66,66382.0,126.31,316539.0
2026-08-12T04:02:42.208694-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,126.04,66726.0,125.44,112750.0,126.54,59540.0,126.6,72022.0,126.64,86308.0,126.72,38236.0,126.62,56143.0,126.68,55450.0,126.66,66382.0,126.31,316539.0
2026-08-12T04:32:53.140806-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,126.04,66726.0,125.44,112750.0,126.54,59540.0,126.6,72022.0,126.64,86308.0,126.72,38236.0,126.62,56143.0,126.68,55450.0,126.66,66382.0,126.31,316539.0
2026-08-12T05:03:04.099042-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,126.04,66726.0,125.44,112750.0,126.54,59540.0,126.6,72022.0,126.64,86308.0,126.72,38236.0,126.62,56143.0,126.68,55450.0,126.66,66382.0,126.31,316539.0
2026-08-12T05:33:14.964744-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,126.04,66726.0,125.44,112750.0,126.54,59540.0,126.6,72022.0,126.64,86308.0,126.72,38236.0,126.62,56143.0,126.68,55450.0,126.66,66382.0,126.31,316539.0
2026-08-12T06:03:26.096152-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,126.04,66726.0,125.44,112750.0,126.54,59540.0,126.6,72022.0,126.64,86308.0,126.72,38236.0,126.62,56143.0,126.68,55450.0,126.66,66382.0,126.31,316539.0
2026-08-12T06:33:37.117841-04:00,,,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,,,,,126.04,66726.0,125.44,112750.0,126.54,59540.0,126.6,72022.0,126.64,86308.0,126.72,38236.0,126.62,56143.0,126.68,55450.0,126.66,66382.0,126.31,316539.0
