wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:01:58.747190-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,84.63,24875.0,84.83,153970.0,83.93,51561.0,84.31,41652.0,84.0,20234.0,84.75,171976.0,85.05,24267.0,84.99,39244.0,85.42,18592.0,85.27,19713.0,85.05,12168.0,84.86,25525.0,85.47,35763.0,84.88,68250.0,84.54,133991.0
2026-08-12T02:32:09.972920-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,84.63,24875.0,84.83,153970.0,83.93,51561.0,84.31,41652.0,84.0,20234.0,84.75,171976.0,85.05,24267.0,84.99,39244.0,85.42,18592.0,85.27,19713.0,85.05,12168.0,84.86,25525.0,85.47,35763.0,84.88,68250.0,84.54,133991.0
2026-08-12T03:02:21.096366-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,84.63,24875.0,84.83,153970.0,83.93,51561.0,84.31,41652.0,84.0,20234.0,84.75,171976.0,85.05,24267.0,84.99,39244.0,85.42,18592.0,85.27,19713.0,85.05,12168.0,84.86,25525.0,85.47,35763.0,84.88,68250.0,84.54,133991.0
2026-08-12T03:32:32.018096-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,84.63,24875.0,84.83,153970.0,83.93,51561.0,84.31,41652.0,84.0,20234.0,84.75,171976.0,85.05,24267.0,84.99,39244.0,85.42,18592.0,85.27,19713.0,85.05,12168.0,84.86,25525.0,85.47,35763.0,84.88,68250.0,84.54,133991.0
2026-08-12T04:02:42.964881-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,84.63,24875.0,84.83,153970.0,83.93,51561.0,84.31,41652.0,84.0,20234.0,84.75,171976.0,85.05,24267.0,84.99,39244.0,85.42,18592.0,85.27,19713.0,85.05,12168.0,84.86,25525.0,85.47,35763.0,84.88,68250.0,84.54,133991.0
2026-08-12T04:32:53.886434-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,84.63,24875.0,84.83,153970.0,83.93,51561.0,84.31,41652.0,84.0,20234.0,84.75,171976.0,85.05,24267.0,84.99,39244.0,85.42,18592.0,85.27,19713.0,85.05,12168.0,84.86,25525.0,85.47,35763.0,84.88,68250.0,84.54,133991.0
2026-08-12T05:03:04.845850-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,84.63,24875.0,84.83,153970.0,83.93,51561.0,84.31,41652.0,84.0,20234.0,84.75,171976.0,85.05,24267.0,84.99,39244.0,85.42,18592.0,85.27,19713.0,85.05,12168.0,84.86,25525.0,85.47,35763.0,84.88,68250.0,84.54,133991.0
2026-08-12T05:33:15.710581-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,84.63,24875.0,84.83,153970.0,83.93,51561.0,84.31,41652.0,84.0,20234.0,84.75,171976.0,85.05,24267.0,84.99,39244.0,85.42,18592.0,85.27,19713.0,85.05,12168.0,84.86,25525.0,85.47,35763.0,84.88,68250.0,84.54,133991.0
2026-08-12T06:03:26.919950-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,84.63,24875.0,84.83,153970.0,83.93,51561.0,84.31,41652.0,84.0,20234.0,84.75,171976.0,85.05,24267.0,84.99,39244.0,85.42,18592.0,85.27,19713.0,85.05,12168.0,84.86,25525.0,85.47,35763.0,84.88,68250.0,84.54,133991.0
2026-08-12T06:33:37.873777-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,84.63,24875.0,84.83,153970.0,83.93,51561.0,84.31,41652.0,84.0,20234.0,84.75,171976.0,85.05,24267.0,84.99,39244.0,85.42,18592.0,85.27,19713.0,85.05,12168.0,84.86,25525.0,85.47,35763.0,84.88,68250.0,84.54,133991.0
