wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:01:59.114681-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,33.88,99460.0,33.16,417416.0,33.6,69133.0,33.88,59509.0,33.54,41740.0,33.42,60037.0,33.37,27464.0,33.4,24984.0,33.28,17093.0,33.28,90378.0,33.19,50411.0,33.1,36219.0,33.25,21522.0,33.24,59553.0,33.28,253895.0
2026-08-12T02:32:10.354180-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,33.88,99460.0,33.16,417416.0,33.6,69133.0,33.88,59509.0,33.54,41740.0,33.42,60037.0,33.37,27464.0,33.4,24984.0,33.28,17093.0,33.28,90378.0,33.19,50411.0,33.1,36219.0,33.25,21522.0,33.24,59553.0,33.28,253895.0
2026-08-12T03:02:21.488591-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,33.88,99460.0,33.16,417416.0,33.6,69133.0,33.88,59509.0,33.54,41740.0,33.42,60037.0,33.37,27464.0,33.4,24984.0,33.28,17093.0,33.28,90378.0,33.19,50411.0,33.1,36219.0,33.25,21522.0,33.24,59553.0,33.28,253895.0
2026-08-12T03:32:32.396273-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,33.88,99460.0,33.16,417416.0,33.6,69133.0,33.88,59509.0,33.54,41740.0,33.42,60037.0,33.37,27464.0,33.4,24984.0,33.28,17093.0,33.28,90378.0,33.19,50411.0,33.1,36219.0,33.25,21522.0,33.24,59553.0,33.28,253895.0
2026-08-12T04:02:43.355348-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,33.88,99460.0,33.16,417416.0,33.6,69133.0,33.88,59509.0,33.54,41740.0,33.42,60037.0,33.37,27464.0,33.4,24984.0,33.28,17093.0,33.28,90378.0,33.19,50411.0,33.1,36219.0,33.25,21522.0,33.24,59553.0,33.28,253895.0
2026-08-12T04:32:54.266789-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,33.88,99460.0,33.16,417416.0,33.6,69133.0,33.88,59509.0,33.54,41740.0,33.42,60037.0,33.37,27464.0,33.4,24984.0,33.28,17093.0,33.28,90378.0,33.19,50411.0,33.1,36219.0,33.25,21522.0,33.24,59553.0,33.28,253895.0
2026-08-12T05:03:05.238172-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,33.88,99460.0,33.16,417416.0,33.6,69133.0,33.88,59509.0,33.54,41740.0,33.42,60037.0,33.37,27464.0,33.4,24984.0,33.28,17093.0,33.28,90378.0,33.19,50411.0,33.1,36219.0,33.25,21522.0,33.24,59553.0,33.28,253895.0
2026-08-12T05:33:16.078046-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,33.88,99460.0,33.16,417416.0,33.6,69133.0,33.88,59509.0,33.54,41740.0,33.42,60037.0,33.37,27464.0,33.4,24984.0,33.28,17093.0,33.28,90378.0,33.19,50411.0,33.1,36219.0,33.25,21522.0,33.24,59553.0,33.28,253895.0
2026-08-12T06:03:27.300670-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,33.88,99460.0,33.16,417416.0,33.6,69133.0,33.88,59509.0,33.54,41740.0,33.42,60037.0,33.37,27464.0,33.4,24984.0,33.28,17093.0,33.28,90378.0,33.19,50411.0,33.1,36219.0,33.25,21522.0,33.24,59553.0,33.28,253895.0
2026-08-12T06:33:38.250976-04:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,33.88,99460.0,33.16,417416.0,33.6,69133.0,33.88,59509.0,33.54,41740.0,33.42,60037.0,33.37,27464.0,33.4,24984.0,33.28,17093.0,33.28,90378.0,33.19,50411.0,33.1,36219.0,33.25,21522.0,33.24,59553.0,33.28,253895.0
