request_time,iloc[-1] close (e.g. 20260814 14:00:00 US/Eastern),iloc[-1] volume (e.g. 20260814 14:00:00 US/Eastern),iloc[-2] close (e.g. 20260814 13:30:00 US/Eastern),iloc[-2] volume (e.g. 20260814 13:30:00 US/Eastern),iloc[-3] close (e.g. 20260814 13:00:00 US/Eastern),iloc[-3] volume (e.g. 20260814 13:00:00 US/Eastern),iloc[-4] close (e.g. 20260814 12:30:00 US/Eastern),iloc[-4] volume (e.g. 20260814 12:30:00 US/Eastern),iloc[-5] close (e.g. 20260814 12:00:00 US/Eastern),iloc[-5] volume (e.g. 20260814 12:00:00 US/Eastern)
20:39,202.26,125810,201.45,159574,201.64,162512,202.09,242859,202.94,283214
20:40,202.22,132452,201.45,159574,201.64,162512,202.09,242859,202.94,283214
20:42,202.44,144221,201.45,159574,201.64,162512,202.09,242859,202.94,283214
20:44,202.32,152882,201.45,159574,201.64,162512,202.09,242859,202.94,283214
20:46,202.49,11892,202.25,156641,201.45,159574,201.64,162512,202.09,242859
20:48,202.49,22892,202.25,156641,201.45,159574,201.64,162512,202.09,242859
20:50,202.73,35309,202.25,156641,201.45,159574,201.64,162512,202.09,242859
20:52,202.61,45764,202.25,156641,201.45,159574,201.64,162512,202.09,242859
20:54,202.82,56920,202.25,156641,201.45,159574,201.64,162512,202.09,242859
20:56,202.73,68759,202.25,156641,201.45,159574,201.64,162512,202.09,242859
20:58,202.95,78846,202.25,156641,201.45,159574,201.64,162512,202.09,242859
21:00,202.94,87729,202.25,156641,201.45,159574,201.64,162512,202.09,242859
21:02,202.99,100802,202.25,156641,201.45,159574,201.64,162512,202.09,242859
21:04,203.12,109767,202.25,156641,201.45,159574,201.64,162512,202.09,242859
21:06,203.33,120019,202.25,156641,201.45,159574,201.64,162512,202.09,242859
21:08,203.38,139075,202.25,156641,201.45,159574,201.64,162512,202.09,242859
21:10,203.24,157687,202.25,156641,201.45,159574,201.64,162512,202.09,242859
21:12,203.29,182850,202.25,156641,201.45,159574,201.64,162512,202.09,242859
21:14,203.32,193799,202.25,156641,201.45,159574,201.64,162512,202.09,242859
21:16,203.4,15747,203.25,196811,202.25,156641,201.45,159574,201.64,162512
